stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,3.77,105.63,45.21,0,1.58,0,0,1,83.73,0,0,0,69.8,0,0,0,0,3.98,11.59,0,0.88,56.95,1.28,13.19,6.18,3.26,0,48.35,50.63,0,2.25,43.03,0,0,45.91,0
 24-34,0,1.27,239.9,10.37,0,5.47,28.82,0,0,4.64,3.65,21.03,1.33,74.18,0,24.82,0,0,4.46,6.48,0,6.82,115.69,2.03,27.65,15.7,0,0.99,243.77,15.91,0,3.14,26.22,0,0,280.78,0
 36-46,0,0,203.45,8.68,0,9.37,64.77,1.17,10.03,0.61,0.76,3.91,0.89,40.41,0,8.45,0,0,5.58,9.48,0.55,26.16,157.23,2.62,10.94,11.61,0,0,345.96,14.72,0,0,27.85,0,0,224.75,0
 48-58,0,0.42,112.87,0,0,20.92,46.17,4.66,4.06,0.76,2.12,5.93,0,17.17,0,10.81,0,0,15.88,6.33,0.42,4.56,71.19,0,5.52,15.74,0,0,204.2,2.78,0,0,21.01,0,0,149.09,8.96
 60-70,0,0,200.51,21.27,0,13.4,70.29,11.73,2.92,9.46,0,3.88,0.83,17.05,0,19.49,0,0,22.04,0.87,0,10.06,59.01,0,1.17,21.66,0,1.19,254.07,6.74,1.39,0,19.14,3.04,0,201.31,6.38
 72-82,1.25,0,106.79,0.52,0,21.84,36.24,0.67,4.77,13.1,0.6,15.16,6.4,9.27,0,17.13,1.44,0,53.72,2.56,0,13.15,72.84,0,2.98,22.53,0,0,154.37,3.72,0,0,1,6.03,0.87,240.75,0
 84-94,0,0,205.81,3.29,1.39,19.24,65.02,0,4.26,32.24,4.38,8.34,19.6,30.7,0,21.28,0.68,0,48.66,4.4,0,18.92,59.7,0,6.36,26.89,0,2.93,403.47,20.68,0,0,0,27.47,1.48,202.04,0
 96-106,0,0,156.38,8.27,0,17.24,66.65,1.1,16.56,42.43,0,3.66,9.92,27.55,0,36.01,1.99,7.1,50.21,0.78,11.75,3.13,75.08,0.81,13.2,36.24,0,6.75,282.44,10.26,0.57,0,6.39,49.25,3.45,215.19,0
108-118,1.83,0,261.44,1.61,0,17.68,78.85,2.99,4.54,56.46,0,1.68,13.87,38.72,0.43,15.94,2.99,0,52.83,6.9,0.57,4.79,54.52,0.5,6.64,40.64,0,5.78,297.32,17.65,0,0,1.77,67.33,0,212.35,0
120,0,0,292.14,0,0,16.63,75.07,0,0,72.22,0,30.98,32.78,54.11,0,30.25,6.32,0,101.45,10.28,0,0,50.29,0,4.15,36.67,0,0,302.78,7.01,0,0,17.6,32.28,2.24,388.34,0
