stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,27.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.8,89.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.37,3.2,0,0,0,5.96,0,0,0,11.99,0,0,0,0,0,0,0,0,0,0,176.85,27.39,0,0,55.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.25,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,52.28,0,0,0,10.03,0,0,3.53,0,0,0,0,0,0
 14-21,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0.89,0,0,0,10.47,0,0
 24-34,0,0,0,0,5.29,0,1.6,0,0,0,0,0,0,0,0,10.05,0,2.47,0,0,0.87,27.74,0,0,0,0,0,1.57,0,1.45,1.5,0,289.42,0,0
 36-46,0,0,0,0.79,0.81,0,1.94,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,44.77,0,0,0,0,0,0,0,0,4.06,0,418.81,0,0
 48-58,0,0,0,0.86,1.92,0,3.59,0.41,2.1,0,0,0.65,0,0,0.41,0,0,2.66,0,0,4.8,58.69,0,0.91,0,0,0.56,0.72,0,0,7.49,0,390.2,0,1.08
 60-70,0,0,0,0,15.81,0,13.65,0,6.61,0,0,1.85,2.38,0,0,0,0,4.14,0,0,4.27,40.94,0,0.96,0,0,0,0,0,0,2.99,0,436.06,0,0
 72-82,0,0,0,0,0,0,16.41,0.6,3.02,1.1,0,0,0.69,0,0,0,0,5.78,0,1.31,0,25.28,0,0,0.66,0,0,1.02,0.97,0,4.93,0.84,826.52,0,0
 84-94,0,0,0,0,6.49,0,5.69,0,6.82,0,0,0,0,0,6.17,1.22,0,1.69,0,0,0,36.05,0,0,0,0,0,3.03,0,0,0,0,689.73,0,0.55
 96-106,0,0,0,0.98,42.11,0,3.63,2.05,3.09,0,0,0,0,0,0,0,7.1,1.07,1.47,0,0,58.21,0,0,0,0,0,1.54,1.2,0,0,0,798.35,1.34,0
108-118,0,0,0,0,5.8,0.49,13.06,0,6.52,0.43,0,0,0,0,0.81,2.41,0,3.23,0,0,0.55,27.5,0,0,0,0,0,1.12,1.44,0,0,0,649.63,0,1.25
120,0,0,0,0,13.62,0,10.38,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,52.35,0,0,0,0,0,6.97,0,0,0,0,895.58,0,0
