stage,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0.91,0,0,0
 24-34,0,0,0,0,0,1.02,0,0.7,7,1.91,0,20.35,0
 36-46,12.4,0,0,0,1.6,0.72,0,1.19,0,0,0,23.73,0
 48-58,0,0.44,0,0,2.77,0.38,0.68,0.52,0,0,0,15.71,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,21.46,0
 72-82,0,0,0,0,0.5,1.42,0,0,0,0.83,0,9.98,1.01
 84-94,0,0,0,0,0,0.56,0,0,0,0,0.9,30.96,0
 96-106,3.2,0,0.57,0,0,0.91,1.13,0,0,1.54,0.73,20.8,0
108-118,0.45,0,0,1.08,0,3.02,1.75,0,0,0,0,9.69,0
120,3.01,0,0,0,0,3.51,0,0,0,0,0,28.4,0
