stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.15,816.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.91,0,0,0,0,0,0
  5-6,6.87,465.55,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,12.12,0,0,0,0,0,0
  7-9,16.59,0,0,4.21,0,0,22.37,0,0,0,0,0,6.93,0,0,0,0,0,0,0,0,0,118.99,5.55,0,0,13.62,0,0,0,0,0,0,0
 10-12,0,0,0,5.03,0,0,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.17,0,0,0,13.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,0,0,0,1.06,21.04,0,0,0
 24-34,0,0,0,0,2.88,0,1.9,0,0,0,1.48,0,0,0,0,0,0,0,0,0.89,0,5.72,209.31,0,5.66,4.04,0,0,0,0,142.75,0,0,2.07
 36-46,0,0,0,0,0.98,0,15.89,0,0,0,1.32,0,0,0.56,0,0,0,0,0,0.66,0,1.73,455.19,0,5.28,0,0,0.64,0,0,308.15,0,0.81,0
 48-58,0,0,0,0,4.36,0,31.21,0,4.05,0,12.89,0,0,1.28,0,0,0,0,0,16.15,1.36,0.81,748.67,0,2.48,0,0,2.96,0.9,0,240.52,0,0,4.71
 60-70,0,0,0,0,4.17,0,118.86,0,0,0,1.95,0,0,0,0.92,0,0,0,0,17.45,0,0,1198.17,0,2.09,1.91,0,0,0,0,308.4,0,0,8.01
 72-82,0,0,0.64,0,2.57,10.76,155.27,0,1.14,4.76,10.19,0,0,0,0,2.49,2.37,0,5.42,9.95,0,0,1377.79,0,0.93,9.73,0,4.56,0,0,250.04,2.54,0,4.41
 84-94,0,0,0,0,1.55,2.56,111.28,0,0.88,0.67,12.93,1.71,0,0,0,0,0,0,0,2.27,0,3.58,936.05,0,0.95,15.24,0,4.27,0,0,140.77,0.97,1.48,0
 96-106,0,0,0,0,9.7,4.8,141.57,0,0.59,0,33.85,2.26,0,0,2.58,0,0,0,0,17.01,8.4,4.45,834.44,0,2.95,3.34,0,8.89,0,0,79.91,1.13,0,0
108-118,0,0,0,0,5.12,1.14,154.17,1.3,0,0,59.65,0.43,0,0,0.45,0,1.89,0,0,10.33,1.98,0.92,914.94,0,1.53,15.3,0,0,0,0,66.06,2.03,1.78,0
120,0,0,0,0,35.39,5.28,246.13,0,0,0,125.5,0,0,10.05,2.42,0,3.07,5.67,0,44.11,0,3.01,2035.11,0,0,7.79,0,1.17,0,0,283.92,0,2.72,0
