stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
 14-21,0,2.85,0,0.84,0,0,0.85,6.46,0,0,1.1,1.85,0,0
 24-34,0,1.32,0,0,0,0,0,7.68,0,0,0,0,0,0
 36-46,0,0,0,3.4,0,0,0,1.74,0,2.75,0,0,0.84,0
 48-58,0,0,0,4.99,0,0.8,0,4.42,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0
 72-82,1.15,0,3.27,0,0.93,5.2,0,5.06,0.57,0,0,0,0,0
 84-94,0,0,0,0,0,0.75,0,8.35,0,0,0,0,0,0
 96-106,0,0.6,0,8.83,0,3.92,0,0,0,2.35,0,0,0,2.61
108-118,0,0,0,0.51,0.48,6.72,0,3.66,0,0,0,0,0,0
120,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0
