stage,blastomeres,epidermis,exocrine.pancreas,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,neural,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  5-6,29.21,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.73,0,0,0
 14-21,0,1.09,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.77,0,0,0,0,0,0,0.9,0,0,1.18,0
 36-46,0,2.04,0,0,0,0,0,0,13.44,0,0,2.09,0
 48-58,0,0,0,0,0,0,0,0,5.2,0,0,4.13,1.27
 60-70,0,0,0,0,0.76,0,0,0,0,0,0,0,0
 72-82,0,1.31,0,0,0,0,0.62,5.26,0,0,0,0,0
 84-94,0,0,0,2.39,0,1.65,3.4,0,3.49,0,0,0,0
 96-106,0,0.77,0,0,0,3.57,14.85,0,0,0,0,0,1.43
108-118,0,0,1.29,1.85,0,0,12.15,0,2,0,0.42,0,0.83
120,0,0,0,0,0,0,41.65,0,1.72,0,0,0,5.74
