stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,56.56,1195.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0
  5-6,214.72,2974.06,0,0,0,0,0,0,0,0,0,69.28,0,0,0,0,0,0,0,461.49,11.17,0,0,96.97,0,0,0,0,0,0,0,0
  7-9,56.02,60.48,64.48,0,0,137.81,0,0,0,0,0,44.66,0,0,0,0,0,0,0,1401.04,40.79,0,0,478.43,0,17.79,0,0,0,0,0,0
 10-12,0,30.71,77.37,0,5.14,93.09,0,0,0,0,0,6.42,0,0,0,0,0,0,0,1024.01,35.79,0,0,445.96,4.05,0,0,66.2,0,7.02,0,0
 14-21,0,1.36,0,28.65,5.94,5.75,0,0,0,4.22,1.21,0,0,0,0,0.94,12.32,0,10.16,145.81,11.06,0,4.2,4.2,0,0,36.48,1.22,17,68.76,1.02,0
 24-34,0,0,0,1.3,0,5.27,0,0.78,0,3.69,0,0,0,0.77,0,0,12.47,0,8.5,119.44,0,6.84,0,0,0.74,0,0,2.29,2.47,24.38,0,0
 36-46,0,0,0,1.02,0,8.16,0,0,0.88,1.62,0,0,0,0,3.46,0,4.11,0,0,92.9,1.29,0,0,0,1.89,0,0,0,0,18.42,0,0
 48-58,0,0,0,2.36,0,20.11,0,0,1.27,2.08,0,0,0,0,0,0,0.44,0.58,1.55,100.66,8.98,0,0,0,0,0,0,0,0,14.71,0,0
 60-70,0,0,0,0,0,18.58,0,1.96,0,4.48,0,0,0,0,0,0,0.74,0,0,115.23,0,1.98,0,0,0,0,0,0,0,15.96,0,0
 72-82,0,0,0,0,0,16.45,0,0,0.59,0.9,0,0,0,0,0,0,12.4,1.18,1.46,69.87,0,0.87,2.58,0,0,0,0,0,0,3.93,0.57,0.49
 84-94,0,0,0,0,0,6.89,0,0,0,2.88,0,0,0,0,0,0,6.81,0,0.98,39.81,0,0,0,0,0,0,0,0,0,0.87,0,0
 96-106,0,0,0,0,0,0.82,0,0,0,0.97,0,0,0,0,0,0,1.05,0,0,23.34,0,0,0,0,0,0,0,1.05,0,0,3.25,0
108-118,0,0,0,0.85,0,21.37,0,0,0.65,0,0,0,0,0,0,0,2.74,0,0.47,33.64,0,0,0,0,0.69,0,0,0,0,8.5,0,0
120,0,0,0,0,0,6.64,6.39,0,0,0,0,0,1.43,0,0,0,12.22,0,2.74,95.94,0,0,0,0,0,0,0,0,0,7.79,14.9,0
