stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,periderm,taste,vascular.smooth.muscle
  3-4,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.96,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,0,0
 48-58,0,0,0,0,0,0,2.39,0,0,0,0,0,0.51,0,0,0
 60-70,0,0,0.77,0,2.85,0,0.8,0,0,0,10.39,0.85,0,0,0,0
 72-82,0,0,0,0,0,0,0.69,0,0,0,2.4,0,1.32,0,0,0
 84-94,0,0,0,0,6.81,0,0.86,0,0,1.06,0.63,3.21,7.71,0,0,0
 96-106,0,0,2,6.08,1.04,1.03,12.69,0,0.65,0,7.82,0,7.73,2.74,0,0
108-118,0,0,3.3,2.27,6.94,0.78,35.15,0.59,0,0,23.58,3.23,15.31,0,1.13,2.74
120,0,0,2.8,0,5.97,0,79.74,0,0,0,37.63,0,11.42,0,0,0
