stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,15.04,0,0,0,0,0,0,0,2.12,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.38,0,0,0,0,0,0,0,4.87,0,0,44.44,0,0,0,2.73,0,0,0,0.85,0,0,0,0
 36-46,0.62,0,0,0,0.58,0,0,0,77.7,0,0,48.66,37.31,0,0.74,3.87,0.71,0,0,0,0,0.81,0,0
 48-58,3.15,0,15.47,0,0,0,0,0.63,24.59,0,0,70.22,50.21,1.25,1.1,12.44,0,0,0,0.54,0.64,0,0,0
 60-70,0,0,5.12,0,0,0,0,0,172,0,0,35.56,121.8,0.66,0,20.79,0,0,0,3.67,0.69,0,0,0
 72-82,0.53,0,10.04,0.72,0,0,2.45,1.42,23.73,0,0,12.09,250.47,1.7,0,10.13,0,0,0.6,0,0,0,0,0
 84-94,0,10.39,2.79,0,0,0,0,0,82.27,0,0,20.31,38.21,0,0,0,0,18.52,0,0,0,0,0,0
 96-106,0,0,12.41,0,0,0,0,0,295.72,0,0.79,4.67,15.14,1.14,0,10.12,0,1.47,4.73,0,0.87,0,0,0
108-118,2.46,7.08,36.17,0,0,0.77,0,0,894.09,1.57,0,7.05,70.64,2.16,0,13.84,0,2.27,1.69,0,6.31,1.53,1.13,6.93
120,2.13,0,0,0,0,0,0,0,1826.34,0,0,0,39.22,0,0,21.33,0,5.29,0,0,0,0,0,0
