stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,52.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.12,0,0,0,0,0,0,0,0,0,0,0,31.18,0,0,21.19,0,0,0,0
 10-12,0,0,3.47,0,0,9.36,0,0,0,0,0,0,0,0,69.34,0,0,16.94,0,0,0,0
 14-21,0,0,0,3.91,0,1.72,0,0,2.14,0,0,0.87,0,0.97,22.81,0,0,0,0,0.85,18.17,0
 24-34,0,0,0,0,0,0.79,0,0,0,0,0,3.49,0,0,31.23,0,2.32,0,0.93,0,4.41,0
 36-46,0,0,0,0,0,1.9,0,0,0,0,0,2.84,0,0.78,23.35,0,0,0,1.07,0,3.65,0.75
 48-58,0,0,0,0,0,1.67,0,0.57,0,0,0.5,3.4,1.17,0,16.76,0,0,0,0,0,7.25,0
 60-70,0,0,0,0,0,6.4,0,0,2.89,0,0,2.13,0,0,27.81,0,0.98,0,0,0,6.55,0
 72-82,0,0.79,0,0,1.42,8.02,0,0,1.28,0,0,7.27,0,0,26.14,0,0,0,0,0,13.55,0
 84-94,0,0,0,0,0,0,0,0,0,0.65,0,0.93,0,0,9.57,4.96,0,0,0,0,4.07,0
 96-106,0,0,0,0,0,0,0,0,3.29,0,0,3.03,0,0,11.73,0,1.65,0,0,0,1.64,0
108-118,0,0,0,3.36,0,2.45,0.54,0,0,0,0,3.51,0,0,12.82,0,0,0,0,0,0,0
120,0,0,0,1.05,0,0,0,0,0,0,0,2.27,0,0,21.4,0,0,0,0,0,3.29,0
