stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mucous,muscle,neural,periderm,spinal.cord
  5-6,35.29,0,0,0,0,0,0,0,0,0,23.18,0
  7-9,0,4.95,0,0,0,0,0,0,0,6.85,3.37,0
 10-12,0,0,0,0,0,0,0,0,0,16.83,10.92,0
 14-21,0,0,0,0,0,0,0,0,0,1.6,10.64,0
 24-34,0,0,0,0.73,0,0,0,0,0,4.97,7.36,0.98
 36-46,0,0,0,1.25,1.19,0,0,0,0,7,14.94,0
 48-58,0,0,0,2.22,0,0,2.97,0,0.4,9.38,11.39,0.9
 60-70,0,0,0,12.26,0,1.73,1.03,1.43,0,7.82,18.87,2.92
 72-82,0,0,0,11.51,0,0.54,2.32,0,0,4.97,7.21,0
 84-94,0,0,0.63,0,0,2.84,0,0,0,5.36,26.71,0
 96-106,0,0,0.82,0,0,0,0,0,0,8.92,20.43,0
108-118,0,0,1.78,9.11,0,0,0,0,0,0,16.81,0
120,0,0,1.89,2.63,0,7.06,0,0,0,0,18.92,0
