stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,17.75,0,0,0,11.13,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,0,0,0,27.54,0,0,0,0,0,0,0,1.46,0,98.83,0,0,0,0,0.89
 24-34,0,0,0,1.21,0,7.64,0,0,0,17.14,0,0,1.13,0,0,0,0,0.76,0,0,0.81,620.39,0,5.7,2.16,0,0,0,0,9.04,0,241.19,0,0,6.13,0,14.59
 36-46,0,0,0,1.07,0,35.99,0,2.79,0,63.86,0,1.02,0,0,0,0,3.39,6.37,0,0,0.58,1645.26,0,9.73,0,0,0,0,0.91,11.01,0,301.35,0,0,0,0,20.68
 48-58,0,0,0,3.76,0.44,239.56,0.67,0,1.39,164.79,0,0.95,0,3.58,0,0,4.53,17.44,0,0,3.16,2873.66,0,8.64,4.79,0,0,9.58,0,0,0,399.16,0,0,0.53,0,23.58
 60-70,0,0.57,0,5.51,0.6,760.22,1,0,1.48,385.97,1.7,8.4,0,1.6,0,0,0,74.23,1.14,3.87,9.14,4394.39,0,2.58,2.26,0,0,6.93,0,3.36,0,579.91,0,3.01,7.8,0.64,19
 72-82,0,0,0,12.33,0,834.59,0,0,1.68,409.96,5.75,13.78,0.89,1.24,0,0,0,34.33,0,1.66,0.63,4120.84,2.7,2.2,4.41,0,1.4,1.46,0,8.6,0,486.68,0.95,0,9.27,0,11.4
 84-94,0,0,0,33.05,2.52,491.79,0,0,2.48,218.97,0,12.06,3.22,1.3,0,2.93,0,33.7,0,2.41,14.16,2610.33,1.43,1.37,6.44,0,0,5.07,0,13.46,0,357.18,0,3.23,1.14,0.89,9.07
 96-106,0,1.08,1.03,25.26,10.51,576.72,0,0,0,257.19,0.88,5.75,0.59,0.75,0.92,12.75,0,44.25,0,0,7.74,2167.08,0,1.51,8.31,0,0,11.05,0,6.49,0.76,165.04,6.87,4.94,0,0,1.41
108-118,0,1.24,0,32.77,2.13,525.2,1.3,0.48,0.48,265.3,1.14,11.17,4.99,0,0,0,0,43.57,0,0,0.53,2411.32,0,5.81,12.46,0,0,2.8,0,4.66,0,110.68,1.81,0.51,1.63,0.73,10.6
120,0,0,0,50.36,1.26,555.65,1.01,8.07,10.19,224.6,9.08,10.72,1.65,0,0,0,0,72.22,0,0,7.96,4182.61,9.59,13.82,10.88,0,0,3.41,2.3,14.88,0,156.14,0,0,9.55,8.42,0
