stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,13.44,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.27,0.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0.82,6.95,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.11,3.71,0,0,71.22,0,0,0,0,0,0,1.02,0,0,0,0,0.84,0,0,0,0,0.73,8.82,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0
 36-46,0,0,0,0,7.27,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.67,15.29,0,0,0,0,0,1.04,0,0,0,4.74,0,0,0,0,0
 48-58,0,0,0,0,0.7,0,0,91.89,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.48,0,0,0,7.92,0,0,0,0,0,8.2,0,0,0,1.88,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,3980.95,0,0,16.92,2.61,0,0,0,0,0,0,0,0,0,17.65,0,0,3.84,45.14,0,0,0,0,2.4,6.09,0,1.82,0,7.88,0,1.22,0,0,13.35
 72-82,0,0,1.95,0,103.47,34.86,0,25229.71,6.12,10.3,9.48,89.89,8.27,0,2.49,5.64,1.14,30.15,2.09,12.89,19.46,157.18,3.7,2.4,11.81,642.17,6.47,5.13,10.3,0,0,39.7,0,8.63,0,83.12,10.19,5.1,39.67,15.13,42.09
 84-94,0,0,1.44,0,128.31,21.84,0,25643.29,3.93,1.22,6.32,41.43,7.05,0,0,7.12,2.12,3.53,2.31,2.09,0,89.29,12.73,16.79,12.31,243.54,1.77,3.44,4.77,0,0,19.17,0,0.56,0,31.29,0,1.26,15.9,1.63,0
 96-106,0,0,0.81,0,88.08,113.14,1.07,30204.79,19.16,8.2,34.26,76.1,3.38,0,2.76,5.97,7.11,18.79,2.59,28.24,0,207.72,9.3,2.27,5.35,534.09,0,9.97,7.6,0,0.97,80.11,0,3.19,16.18,28.17,8.94,5.82,29.9,2.98,14.33
108-118,16.96,0,0,0,61.56,30.5,1.98,28577.09,1.09,7.87,7.62,68.3,3.17,0,0.83,7.2,5.16,5.06,2.49,29.96,4.08,213.93,11.62,14,13.77,745.37,2.33,6.86,6.08,0,0,54.91,0,0.97,0,10.62,2.73,12.59,31.81,8.62,5.21
120,0,0,0,0,92.98,40.76,0,35620.6,5.82,4.94,0,151.83,15.88,5.2,3.96,15.62,10.35,8.64,7.71,23.95,0,234.3,0,2.08,18,760.47,2.49,28.64,9.43,10.96,17.39,40.33,0,1.62,0,72.94,15.27,5.58,45.83,0,2.59
