stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,197.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,0,47.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,41.34,0,0,0,0,0,0,0,0,0
  7-9,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.24,0,0,0,7.91,0,67.84,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,20.23,0,18.89,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0,0,528.95,0,0,0,12.7,0,83.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,6.49,403.86,6.87,0,1.26,0,10.29,0,0,15.12,16.83,0,10.65,123.98,0,0,0,9.26,8.48,0,0,26.14,0,4.96,14.43,0,0,198.67,0,0.92,20.25,4.44,0,0,2.73,0,0
 24-34,0,0,2.85,14.91,665.92,6.33,0,3.49,0,109.34,0,0,19.61,2.37,0,17.02,154.48,0,17.58,0.79,9.23,72.77,0,0.67,129.61,0,102.43,30.5,0,0,316.41,0,0,20.45,4.43,0,0,4.6,0,0
 36-46,0,0,0,0,422.17,0,0,2.78,0,100.52,0,0,10.01,5.29,0,33.82,71.99,0,6.81,3.44,3.37,60.24,0,1.16,201.58,0,94.14,38.47,0,0,486.71,0,0,16.04,4.56,0,0,4.37,0,0
 48-58,0,0,0,1.69,291.69,0,0,10.72,0,147.12,0.44,1.31,1.89,42.18,0.82,27.05,56.95,0,14.89,1.42,3.91,40.16,0,0,151.47,0,70.25,19.95,0,0,374.8,0,0,15.37,8.33,0,0,1.11,0,0
 60-70,0,0,0.82,1.19,336.27,0.67,0,21.88,0.8,180.89,0,11.85,8.93,31.68,0,57.66,46.28,0,24.38,3.74,19,31.98,0.93,1.18,58.19,0,56.97,26.2,0,0,416.55,0,0,12.31,1.81,8.07,0,0,0,0
 72-82,0,0,21.28,3.02,280.52,12.33,1.16,6.78,0,111.12,2.1,0,50.09,18.21,0,77.76,47.16,8.35,37.08,1.51,21.41,45.4,2.4,1.86,38.64,0,99.61,26.41,0,1.78,258.3,0,0,2.2,2.84,28.4,0.51,6.15,1.82,0
 84-94,0,0,13.9,4.97,594.31,2.72,1.17,7.05,0,267.91,0,2.74,81.07,33.86,0,100.79,87.21,0,53.45,2.7,19.68,57.02,1.24,0.76,72.18,0,132.35,56.1,0,0,954.92,0,0,9.55,0.94,62.53,1.69,5.14,1.87,0
 96-106,0,0,30.55,1.59,911.95,29.23,1.7,20.15,0,270.01,1.67,3.24,128.9,2.12,0,176.21,72.33,0,82.53,3.04,33.77,127.54,8.04,0.58,107.6,1.17,243.01,71.58,0,0,703.08,14.44,0,6.51,1.75,143.74,0,7.75,3,3.22
108-118,0,0,13.8,8.94,920.55,3.6,9.82,22.59,0,334.1,4.66,9.28,142.49,0,0,172.9,80.02,1.44,62.3,4.48,38.26,98.07,1.56,1.12,100.26,0.43,130.76,52.22,0,0,516.35,0,0,8.34,0.83,138.74,0.84,6.33,3.14,0
120,0,0,2.59,1.28,727.07,19.38,1.23,7.55,1.18,218.11,0,11.64,87.14,0,0,238.82,74.21,0,64.7,10.18,35.26,43.11,6.81,0,61.79,0,99.13,82.22,0,0,378.75,0,0,8.11,13.59,66.61,0,7.82,4.27,0
