stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.26,0,0,0,0,0,1.3,0,0,0,0,1.71,0,1.59,0.84,0,0,0,0,0,0,0,0,0,0,0
 24-34,3.26,0,0,0,0,0,0,0,0,11.54,0,0,0,10.83,0.89,4.71,1.09,0.6,0,0,0,0,0,0.8,0,1.04,0,0
 36-46,0,0,0,0.85,0,0,0,0,2.04,0.65,0,0,0,7.96,2.17,8.9,2.83,0,0,0,0,0,0,0,0,0,0,0
 48-58,2.16,0,11.34,0,0,2.37,0,0,0.54,19.4,0,0,0,25.75,7.03,8.54,14.66,1.1,0,0.39,0,0,0,0,1.35,3.47,0,0
 60-70,0.6,0,1.61,0,0,3.82,0,0.95,0.7,33.41,0,0,0,46.29,32.89,8.74,9.96,0,0,4.9,0,0,0,4.66,7.1,1.82,2.28,0
 72-82,0,5.63,24.67,1.16,0,15.69,0,0.6,7.36,61.67,0,1.81,0.62,160.93,37.91,19.17,7.31,0,0.54,22.28,0,0,0,1.12,23.82,3.09,36.35,0
 84-94,5.87,9.39,1.43,0.79,0,9,1.14,0,5.69,56.99,0,0,0,72.84,41.46,6.28,9.5,0,0,19.56,0,1.07,0,0,23.4,0.62,32.39,0
 96-106,8.68,1.44,2.05,0.64,0,9.93,0.94,5.13,10.87,96.52,1.18,0.58,0,180.56,45.56,24.93,37.12,0,0,31.3,1.02,0,0,0,18.74,6.41,47.9,5.9
108-118,9.82,9.23,3.58,0,0,12.33,0,3.95,4.58,82.23,0.9,0,0,149.06,43.32,12.99,25.89,0,0,38.77,0,0,0,0,4.04,5.19,36.86,0
120,0,13.62,23.06,0,10.7,10.75,6.79,8.21,4.78,102.57,0,0,0,244.18,25.91,22.74,49.79,0,0,101.18,2.45,0,1.32,4.78,31.47,2.12,40.58,0
