stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.79,0,0,0,1.8,0,0,0,0,0,0.89,0,0,0,6.27,0,0,0,0,0,0,0,12.51,0,0,0,0
 24-34,0,0.96,0,0,1.18,0,1.34,0,1.96,0.61,0,0,0,0,0,2.66,0,1.5,126.11,0,8.63,0,0,0,0,0,87.63,0,0,0,0
 36-46,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,6.75,3.3,0,0,207.69,0,0,0,0,0,0,0,84.3,0,0,3.33,0
 48-58,0,0,1.29,1.43,0,0,34.47,0,15.74,0,0,0,0,0.51,4.88,2.34,0,1.35,342.71,1.4,6.35,0,0,0,0,1.57,75.95,0,0,0,0
 60-70,0,0,0,0,0,0,131.74,0,8.14,0,0,0,0,0,0,14.41,1.11,0.67,345.13,0,2.57,0,0,0,0,0,35.2,0,0,0,0
 72-82,0,2.85,0,2.82,0,0,147.36,0,7.21,0,0,0,5.83,0,0,3.4,0,0.79,412.44,0,3.09,0,0,2.62,1.99,0,37.18,1.16,0.52,0,0
 84-94,0,5.06,1.04,0,0,0,135.03,1.19,11.31,0,0,0,0,0,0,11.3,0.63,0,292.62,0,4.97,0,3.32,0.88,0.62,0,24.54,2.89,0,1.22,0
 96-106,0,0,0,0.88,0,0,92.67,0,10.35,0,0,0,0,0,0,9.45,0,0,338.57,0,12.48,0,0,0,0,0,8.42,0,0,0,3.01
108-118,0,2.6,0,9.04,0,0.5,103.72,0,19.19,0,3.03,2.21,0,0,0,16,0,2.45,425.22,0,6.97,0,0,0,0.99,0,7.5,0,0,0,0
120,0,0,0,0,0,0,176.69,0,17.55,0,0,0,0,0,0,2.22,0,0,344.22,0,11.19,0,0,1.33,0,0,1.7,0,0,5.48,0
