stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.21,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.29,0,0,0,0.83,0,4.48,0,0,0,0,0
 24-34,0,0.91,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,63.34,0,0,0,0,0,19.12,0,0,0,0,0
 36-46,0,0,0,0,20.46,0,0,0,1.47,0,0.88,0,0,0,0,0,8.49,1.84,0,0,0,211.57,0,0,0,0,0,46.88,0,0,0.81,0,0
 48-58,0,0,0,0,149.04,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,331.9,0,0,0,0,0,27.35,0,0,0,0,0
 60-70,0,1.05,0,0,2198.18,0,0,0,13.06,0,0,0,0,8.58,0,0,8.26,2.86,0,0,0,521.26,0,0,0,7.55,0,33.22,0,0.71,0,0,0
 72-82,1.32,7.65,0.49,0,4833.12,0,7.55,1.5,55.3,0.5,0.66,0,0,0,0,0,0,17.71,0,0,2.41,767.83,2.08,0,1.3,0,0,32.36,0,0,0.56,1.37,4.49
 84-94,0,14.19,0,0,2716.13,0,0.7,0,98.68,0,0.85,0,0.61,0,0.76,0,0.78,7.65,0.57,6.25,6.62,380.78,1.14,0,0,7.46,0,13.66,0,0.64,0.8,0.57,0
 96-106,0,15.73,1.55,0,4154.79,0,2.85,4.3,41.53,0,3.23,0.63,0,0.81,0,1.56,0,9.77,0,0,0,459.95,0.65,0,2.33,2.72,0.9,9.18,4.97,0,0,0.64,0
108-118,0,26.95,6.51,4.57,2865.84,0,1.73,3.26,28.59,0.64,0,0.82,0,0,0,0.93,0,14.11,0,4.52,0,512.74,1.72,0,0,5.31,0,8.71,0,1.98,2.96,0.65,2.33
120,0,9.98,0,0,1688.8,1.99,3.6,1.56,119.89,0,0,0,1.77,0,0,0,0,11.27,0,0,3.01,750.2,2,0,0,1.08,0,4.2,0,0,4.29,0,8.94
