stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74,0,0,46.68,0,0,0,0,3.1,4.17,0,0,0,0,13.68,66.96,0,0,0,0,0
 24-34,0,0,9.88,6.77,1.73,0,0,0,0,2.1,0,0,4.49,0,0,0,4.97,0,0,127.09,0,0.67,0,0.95,18.05,8.99,0,0.65,0,1.41,0,48.1,0,0,0,0,0
 36-46,0,0,1.83,1.13,0,0,0,4.13,0,0,0,0,36.45,0,0,0,0,0,0,94.25,1.78,1.26,0,0,20.89,9.83,0,0,0,0,0,26.58,0,0,0,0,0
 48-58,2.3,0,0,0,0,0,0,5.1,0,0,0,0,47.83,1.7,0,0,0,0,0,228.54,4.9,0,0,0.62,26.6,4.77,0,0,0,0,1.45,12.95,0,0,0,0.9,0
 60-70,0.8,0,1.23,0,0,0,4.65,27.09,0,0,0,0.67,20.32,0,0,0,0,1.91,0,290.29,28.62,0,0,0,50.21,0,0,0,0.6,0,0,13.88,0,0,0,0,0
 72-82,0,0,18.25,1.12,3.9,2.46,42.81,89.18,2,0,0,9.98,5.42,0,0,1.55,0,0.83,0,635.09,114.75,0,0,1.44,95.84,0,0,0,1.34,0,0,6.34,5.73,0,0,3.85,5.71
 84-94,0,0,16.19,4.57,4.35,0,92.88,95.87,0,0,0.69,7.49,15.53,0,0,2.32,0,0,0,2006.1,49.02,0,0,0,129.35,0,2.6,1.04,6.73,1.4,0,8.48,2.36,0,1.33,0,6.95
 96-106,0,0,35.23,10.18,6.37,28.43,34.27,242.23,0,1.12,0,29.92,8.6,0,0,6.82,1.34,0,3.79,3190.27,169.77,5.14,1.53,5.47,344.8,0,4.32,1.01,40.63,0,0.74,1.23,5.04,3.51,12.63,1.36,6.4
108-118,0,0,12.55,8.26,5.81,11.91,25.28,277.55,3.3,0.95,0,12.31,7.57,0,0,4,0.42,1.68,0,5806.51,168.34,9.24,1.52,7.66,355.59,1.58,0.42,4.36,2.09,1.1,0.43,14.98,0,0,1.04,0.49,4.51
120,0,0,8.41,0,6.14,13.99,11.54,69.54,0,12.88,1.44,10.13,4.57,0,1.54,0,0,0,0,2561.97,131.84,0,0,1.54,278.58,2.62,0,0,4.64,0,0,2.5,0,0,0,0,0
