stage,eye,fin_mesenchyme,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord
 10-12,0,0,0,0,12.11,0,3.83,0
 24-34,0,0,0,0.68,3.35,0,0,0
 36-46,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.97,0,0,0
 60-70,1.37,0,0,3.41,2.3,0,0,0
 72-82,0,0.71,1.12,2.16,4.5,0,0,0
 84-94,0,0,0,1.42,1.78,0,0,2.16
 96-106,4.82,2.03,0,2.62,14.14,0,0,0
108-118,2.89,0,0,3.26,17.02,0,0,0
120,0,0,0,0,0,2,0,0
