stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,128.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0
  5-6,10.24,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,13.3,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,11.51,0,0,0,8.35,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,3.13,0,0,0.9,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,1.28,5.77,0,0,0,0,0,0,1.31,0,3.93,0,0,0,0
 24-34,0,0,0,0,1.01,0,0,2.43,1.11,0,1.07,0,0,1.45,0,1.35,0,0,0,1.29,0,0,9.89,16.11,0,0,0.64,0,0,6.71,0,1.02,3.89,0,6.53,0,0
 36-46,0,0,0,0,0.71,0,0,3.57,0,0.73,0,0.56,0,0,0,0,0,0,0,3.76,0,0,0.66,22.93,0.66,0,0,0,0,2.73,0,0,3.15,0,2.79,0,0
 48-58,0,0,0,0,0,0.44,0,3.3,0.54,2.24,5.15,0,0,0,0,0,0,0.39,1.22,6.49,0.8,0,1.51,4.64,0,0,0,0,0,8.99,0,0,1.5,0,0,0,4.57
 60-70,0,0,0,0,0,0,0,2.43,0,0,5.49,0,0,0,0,0,0,0,2.79,7.57,0.73,0,0,3.7,0,0,0,0,0,11.46,0,0,0,0,0,0.73,0
 72-82,0,0,0.93,0,1.92,0.9,0,0.52,0,0.82,5.73,0.99,0,0,1.13,0,0,0.97,0,9.26,0.93,0,0,2.29,0,0,0,0,0,3.7,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.7,0,0,5.23,0,0.94,5.81,0,0,0,0,1.83,0,6.11,0,10.88,0.89,0,1,1.08,0,0,0,0,0,8.3,0,0,1.5,0,3.59,0,0
 96-106,0,0,0,0,0,0,0.6,4.79,1.8,0,6.07,0,0,0,0,1.45,2.41,0,0,4.68,3.31,0,0,5.65,0.75,0,0,0,0,10.34,0,0,0,1.22,1.08,0.59,0
108-118,0,0,0,0,8.12,3.7,0,0,0,0,2.16,0.62,0,0.69,0,0,0,0.6,2,5.74,0,0.69,1.51,7.19,0,0,0.45,0,0.91,4.14,0,0,0,0.46,1.71,0,2.11
120,0,0,0,0,0,1.1,0,6.22,0,0,7.92,0,0,0,0,0,0,0,0,3.66,0,0,3.51,19.37,0,6.87,0,0,0,6.21,0,0,3.65,0,2.9,0,0
