stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,772.69,10880.66,0,0,0,0,0,0,0,0,0,0,0,0,0,302.56,0,0,0,0
  5-6,809.04,14694.4,0,0,0,0,49.74,0,0,0,427.66,7.94,0,0,81.19,275.39,0,0,0,0
  7-9,226.25,295.2,421.88,0,920.32,0,271.56,0,0,0,8932.83,252.31,0,0,3149.47,0,164.77,0,0,0
 10-12,0,329.73,366.72,44.46,648.03,0,52.89,5.32,0,0,6171.5,55.58,0,0,2335.4,7.15,56.55,364.44,11.01,0
 14-21,0,0,0,0,0,0,0,0,0,0,5.99,0,0,1.71,0,0,0,0,0,2.05
 24-34,0,0,0,0,0,0,0,0,1.53,0,24.49,0,0,0,0,0,0,0,0,3.63
 36-46,0,0,0,0,6.57,0,0,0,0,0,40.52,0,0,0,0,0,0,0,0,4.45
 48-58,0,0,0,0,10.83,3.61,0,0,2.34,0,66.8,0,0,0,0,0,0,0,0,9.08
 60-70,0,0,0,0,15.04,0.94,0,0,0,0,57.22,0,0.81,0,0,0,0,0,0,7.34
 72-82,0,0,0,0,9.76,0,0,0,1.6,0,12.88,0,0,0,0,0,0,0,0,5.1
 84-94,0,0,0,0,2.66,2.8,0,0,0,0,28.87,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.44,2,0,0,0,1.98,9.61,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.9,0,0,0,0,0,14.98,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.99,5.54,0,0,0,0,22.8,0,0,0,0,0,0,0,0,0
