stage,epidermis,erythrocytes,eye,immune,mesenchyme,vasculature
 36-46,0,0,0,0,0,0.79
 60-70,0,0.67,0,0,1.58,0
 72-82,0,2.14,1.7,1.02,1.56,0
 84-94,0,0,0,0,3.09,0
 96-106,2.2,9.69,0,3.01,2.81,0
108-118,0,0,0,1.2,0,0
120,0,0,0,3.81,0,0
