stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
 14-21,3.19,2.79,0,0,0,0,4.04,0,0,0,3.04,1.87,4.3,0.84,0,1.02,5.95,1.05,1.22,5.3,1.92,0
 24-34,4.23,0,0,0,0.84,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0.69,0,1.68
 36-46,2.43,0,0,3.38,0,0,0,0,0,0,0.84,1.83,0,0,0,0,0,0,0,0,1.24,0.93
 48-58,0,0,0.69,0,1.11,0,0,0.38,0,0,0,0,0,0,0.42,0.99,0,0,0,0,1.04,0
 60-70,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.87,0,0,0,0,0,0,0.79,0,1.49,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 96-106,1.03,0,0,0,0,0,0,0,0,0,1.84,4.18,0.77,0,0,0,0,0,0,0,0,0
108-118,0.66,0,1.22,0,1.2,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.22,0,15.86,0,0,0,0,0,0,0,0,0,10.24,0
