stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,28.29,721.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.64,0,0,0,0
  5-6,62.61,514.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,6.9,24,0,0,0,0
  7-9,3.43,5.83,0,22.45,0,0,12.99,0,0,0,0,0,0,0,0,0,155.64,0,0,82.87,0,0,0,0,0
 10-12,5.75,0,0,3.34,0,0,18.58,0,0,0,10.48,0,0,0,0,0,148.95,10.2,0,65.23,0,0,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,0,0,0,0,2.28,0,1.08,8.26,0,0,0,0,0,2.17,2.47,0
 24-34,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,7.58,0.69,0,0,2.45,0,0,1.34,0
 36-46,0,0,0,0,0,0.57,8.77,0,0,0,0,0,0.85,2.86,0,1.05,7.83,0,0,0,2.04,0.88,0,4.33,0
 48-58,0,0,0,0,0.41,0,11.66,4.09,2.15,0,0,0,0,3.3,0,0.45,25.56,0,0,0,0,0,0,3.33,0
 60-70,0,0,0,0,0,0,20.67,0,3.04,0,0,0,0,1.43,0,0,24.13,0,0,0,4.87,0,0,3.87,0
 72-82,0,0,0.76,0,0,0,19.23,0,0,1.34,0,0,0,3.71,0,0,34.08,0.58,0,0,0,0,0,3.14,0.67
 84-94,0,0,0,0,2.05,0,17.54,0.75,0.77,0,0,0,0,1.29,1.21,0,1.94,0,0,0,5.09,0,0,1.47,0
 96-106,0,0,0,0,0.6,0,5.36,0,0,0,0,0,0,4.48,1.64,0,17.69,0,0.68,0,4.23,0,0,0,0
108-118,0,0,0,0,3.07,0,12.72,0,0.64,0,0,0.63,0,2.99,0,0.5,11.62,0,0,0,0.81,0,0,0,0
120,0,0,0,0,0,0,10.23,3.46,0,2.79,0,9.22,0,0,0,0,8.94,0,0,0,3.2,0,0,0,0
