stage,epidermis,eye,ionocyte,neural,spinal_cord,taste
 48-58,0,0,0,0,0.95,0
 60-70,0,0,0,2.51,2.19,0
 72-82,1.53,0.77,0,1.11,1.6,0.95
 84-94,0,0,0,0,0,1.5
 96-106,0.9,0,0,1.82,0,1.82
108-118,3.14,0,0.65,2.83,2.48,0.48
