stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,98.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,151.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,8.51,0,0,5.75,0,0,0,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,148.21,0,0,0,79.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.04,0,21.08,0,19,7.88,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,315.73,18.03,0,0,81.23,0,0,0,14.26,0,0,0,0,0,0,0,0
 14-21,0,0,4.93,11.16,49.01,220.82,12.02,0,0,0,11.22,10.34,2.29,9.12,0,0,0.96,0,0,17.09,42.42,0,0,27.12,295.63,10.29,2.34,2.89,2.87,0,8.47,4.86,5.51,0,13.34,309.68,0,0,72.93,0,26.61
 24-34,0,0.83,0.97,5.26,33.08,13.01,32.7,0,7.09,2.01,19.47,6.48,0,36.7,1.91,2.92,0.66,1.63,0.61,50.43,121.17,0.71,0,74.31,846.39,3.8,1.71,6.29,0,0,71.91,0,7.88,0,2.06,471.37,0,0,316.48,0,56.68
 36-46,0,0,0,0,18.02,5.5,25.56,1.6,5.71,2.77,63.94,2.95,0,8.31,0,0,8.01,3.92,0.7,76.88,104.34,1.07,0,29.14,1316.08,3.85,3.45,7.26,0,0,81.04,0,2.89,0,0,504.98,0,0,141.4,0,73.96
 48-58,0,0,0,0,27.05,4.06,107.03,0,18.54,7.39,157.54,0.94,2.63,11.37,0,0,3.49,4.39,7.73,45.67,121.03,3.78,3.27,34.13,1315.94,0.9,4.07,0.62,0,0,35.62,0,1.42,1.43,0,427.71,0,0.64,74.55,0,129.84
 60-70,0,0,0,0,14.78,28.43,160.92,0,3.03,10.01,143.02,4.93,0,17.24,2.01,2.91,23.74,2.52,0.7,33.26,120.48,4.27,2.03,26.87,1132.73,2.02,0.83,1.84,0,1.19,29.59,0,7.75,0,0,198.93,0,1.5,64.49,0.71,66.98
 72-82,0,0,0,0.56,18.89,60.37,225,0,0.66,5.94,97.45,7.43,0,14.73,1.74,0,35.22,9.57,0,28.73,171.63,4.2,2.57,39.27,967.63,0,2.64,1.63,0,2.95,21.73,0,0,3.45,0,104.65,0,9.21,112.18,2.96,51.73
 84-94,0,0,4.89,2.05,39.89,80.57,153.91,0,0.58,3.96,92.8,12.75,1.42,9.3,2.5,3.42,22.74,10.34,1.49,47.72,106.1,5.04,11.05,36.08,508.16,2.67,10.9,5.42,0,0,88.71,0,1.46,0,0,70.18,5.26,3.4,116.83,5.84,67.99
 96-106,0,0,0.99,0,25.94,146.31,123.2,0.93,1.82,3.35,93.25,8.2,0,19.71,6.78,3.72,16.29,0.82,11.02,35.99,95.17,21.46,0,23.88,417.57,0,9.59,4.12,0,0,116.47,0,4.64,0,0,37.26,1.44,10.52,140.83,13.37,105.51
108-118,0,0,0,0,34.58,43.68,110.69,1.76,4.41,4.93,96.07,23,0,6.17,3.58,8.57,26.37,1.24,11.78,39.05,131.23,8.87,3.77,21.37,678.93,0.43,8.65,1.63,0,0.91,93.08,0,2.11,0,0,28.57,5.99,3.14,154.2,5,108.46
120,0,0,0,0,23.03,62.76,183.52,0,3.42,0,154.41,18.37,0,3.8,23.62,15.97,13.7,2.13,0,20.88,90.09,0,17.36,16.94,756.04,0,3.06,10.79,0,0,37.68,0,1.86,0,0,21.49,2.84,20.2,279.82,39.93,37.19
