stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
 24-34,0,0.84,0.83,0,0,0,0,0,0,0,0,0.71,0,0,0,1.89,0,0,4.11,0,1.46,0,1.92,0,0
 36-46,0,0,0,0,0,2.03,0,0,0,0,0.76,0.55,0,0,0,3.27,0,0,0,0,0,0,0.77,0,0
 48-58,0,0,0,0,0,49.65,0,0,0,0,0,1.21,0,0.55,0,2.02,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,113.03,0,0,0,0,0,14.25,0.66,0.79,0,3.59,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.78,0,233.99,0,0,0,0,0,16.6,0,0.92,0,9.57,0,0,0,0,0,0,0,4.79,0
 84-94,0,0,0,0,0.74,212.77,0,0,0,0,0.99,32.63,0,1.29,0.6,4.42,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,169.45,0.58,0,0,0,0,8.89,0,3.12,0,6.49,0,0,0,0,0,0.6,0,0,0
108-118,0,0,0,1.22,0,191.08,0,0,2.74,0.61,0,21.44,2.15,4.15,0,7.44,0,1.69,0,0.64,0,0,0,0,0
120,0,0,0,0,0,185.5,0,2.94,0,0,0,32.08,0,5.8,0,4.44,0,0,0,0,0,0,0,0,10.92
