stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,35.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.43,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.02,50.82,0,0,26.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,3.94,4.94,62.13,0,0.94,0,0,0,0,2.9,0,4.6,0,0,1.88,0,0,0,66.24,0,0,92.6,89.35,71.72,0,2.43,1.91,0,0,13.87,0,12.25,237.83,39.78,0,0,75.88,0,0
 24-34,0.88,0,0,8.49,18.54,5.35,0,8.47,11.81,0.92,7.55,0.85,4.28,0,43.18,6.5,0.95,5.21,0,0,23.85,578.29,0,0,389.72,398.4,208.2,0,15.79,0,5.81,2.65,0.76,0,27.93,55.95,109.75,0,0,608.18,0,17.12
 36-46,0,0,0,0,1.66,5.31,0,23.35,10.41,0,37.5,5.39,0,0,17.59,11.77,0,39.51,0,0,58.23,1020.06,0,9.78,359.48,446.41,164.28,0,0,0,4.12,4.42,0,0.67,30.52,4.77,130.47,0,2.6,519.96,0,67.67
 48-58,0.58,0,0,0,19.15,2.67,0,44.16,17.5,5.69,46.97,20.06,0,0,39.6,0,0,48.31,0.48,1.39,80.08,1094.37,0.41,36.61,238.41,467.83,61.41,2.34,2.6,0,3.55,1.17,0,0,26.97,0,75.53,0,8.72,388.43,0.65,109.84
 60-70,0,0,0,0,12.1,5.57,0,80.54,20.15,8.99,61.33,50.33,0,0.78,46.54,0,0,81.45,0,3.59,33.53,1425.37,0,103.77,191.49,333.5,42.32,1.03,2.96,0,47.56,6.58,0,3.6,9.37,0,34.18,0,22.62,309,21.75,160.08
 72-82,0,0,0,0,14.49,1.84,0,104.89,11.31,1.87,96.24,177.58,0,0,16.74,1.18,2.93,53.25,0,3.85,38.47,1984.29,0,201.38,191.88,482.06,23.87,1.43,3.98,0,95.37,0.72,0,0,1.61,0,25.43,2.25,110.45,355.42,91.3,125.7
 84-94,0.62,0,0,0,12.35,0,0,156.25,18,3.89,62.68,242.97,0,0,23.18,3.95,2.57,55.66,0,0,74.38,1551.2,0.86,255.44,162.46,373.12,29.31,3.45,4.57,0,81.16,0.68,0,2.8,9.3,0,3.69,1.01,85.96,334.57,108.01,126.08
 96-106,0,0,0,0,3.84,9.66,0,110.66,14.48,10.53,56.39,378.74,1.74,0,29.2,3.04,0,77.6,0,1.83,28.46,1953.04,0,189.45,192.73,387.42,24.77,0,14.21,0,219.79,5.44,0,2.52,7.58,0,8.96,0,93.51,375.53,139.51,161.14
108-118,0,0,0,0,19.08,6.44,6.73,72.11,19.14,2.43,68.74,326.86,2.25,0,21.81,1.34,0,141.29,0.7,8.68,96.41,2004.45,1.14,175.72,208.39,480.48,19.78,0,19.37,0,319.02,3.36,0,1.56,10.59,0,9.66,0,64.33,320.94,108.12,128.2
120,0,0,0,0,21.69,1.97,0,65.79,9.34,28.88,55.41,360.69,2.8,0,55.15,0,0,121.48,1.74,0,47.89,2450.8,0,314.74,249.93,377.24,73.38,8.07,1.67,10.96,287.12,10.93,0,0,1.6,0,10.66,0,28.89,289.07,135.85,58.82
