stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.13,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.95,0,0,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.75,0,0,0,42.9,0,0,5.47,0,10.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.68,1.44,6.85,0,0,6.7,0,0,0,0,0,0,0,3.43,10.57,0,0,3.29,155.04,0,2.47,0,3.15,0,0,0,4.75,0,0,1.69,40.32,0,0,7.04,0,9.35
 24-34,0,0,0,0,0,5.24,25.81,0,0.72,22.95,0,0,0,0,0,0,0,0,8.5,0,0,3.9,699.15,0,5.5,2.6,0,0,0.89,0,0,0,0,5.54,161.43,0,0,20.21,0,0
 36-46,0,0,0,0,0,0,147.59,0,0.62,44.42,0,0.75,0,0,0,1,0,0,12.46,0,0.92,5.23,1112.65,0,5.01,13.04,0,0,5.58,0,0,0,0.79,0,234.41,0,0,10.85,0,0
 48-58,0,0,0,0,2.69,0,312.25,0,4.27,67.18,0,2.18,0,0,2.97,0,0,0.38,17.95,0,0.5,6.72,1435.85,8,3.51,2.08,0,0,1.18,0,0,0,0,0,241.4,0,0,7.2,0,1.08
 60-70,0,0,0,0,28.9,0,453.72,3.12,5.07,39.25,0,0,0.79,0,0,0,0,0,14.71,4.53,0.99,1.74,1486.09,0,0,0,0,0,1.34,0,0,0,0,0,182.8,0,0,8.93,0,0
 72-82,0,0,0,0,1.87,3.15,699.94,0.88,6.86,54.78,0.86,5.47,3.52,0,0,0,0,0,21.99,0,0,4.57,1620.86,0,10.88,0,0,2.52,1.17,0,0,0,2.88,0,130.3,0,1.49,10.41,0,5.3
 84-94,0,0,0,0,9.2,3.2,440.29,2.24,2.63,36.04,0,0,0.7,0,1.77,0,0,0,30.77,0,0,3.56,1116.07,0,8.55,0,0,0,7.09,0,0,0,0,0,72.56,0,0,17.09,3.29,0
 96-106,0,0,0,0,7.35,2.18,477.18,1.23,2.01,52.16,0,1.56,0,0,0,0.78,1.19,0.57,26.26,0.78,0,0.67,758.41,0,4.67,1.23,0,2.69,2.84,0,0,0,0,0,32.61,0,0,20.68,1.88,0
108-118,0,0,1.22,0,8.1,0,398.31,0,3.57,42.25,0.53,0.49,0.65,0.81,1.37,0,0,0,15.7,0,0,0,1047.43,0,1.3,1.09,0,0,3.94,0,0,0,0,0,36.78,0.71,0,11.75,0,0
120,0,0,0,0,10.16,0,290.45,11.75,1.6,70.94,0,0,0,0,0,0,0,0,35.77,0,0,3.51,1831.51,0,8.18,18.2,0,0,1.02,0,0,0,0,0,43.8,0,0,0,0,0
