stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.77,6.05,0,17.63,0,0,0,2.49,0,0,0,5.8,0,0,0,10.91,0,0,5.54,91.65,0,0,6.36,0,4.58,13.42,1.7,1.28,52.62,16.49,0,0,0,0,0
 24-34,0,5.11,2.38,0,13.15,0,0,0,1.64,0.68,0,0,0.62,0,0,0.69,2.76,0,0,0.96,64.51,0.7,0,0,0,2.28,0,0,0,2.23,8.64,0,0,2.24,0,0
 36-46,0,0.65,0,0,7.7,1.79,0,0,0.87,0,0,0,3.08,0,0,0,5.67,0,0,2.13,32.76,0.88,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0
 48-58,0,0,0,0,34.8,0,0,0.5,5.85,0.46,0,0.59,0,0,0,0,2.96,8.34,0,1.34,53.68,0,0,0,0,0.44,0,2.01,0,0,5.67,0,0,0.51,0,0.6
 60-70,0,0.83,0,0,22.87,0,5.9,0,5.56,4.27,0,0,1.02,0.67,0,0,5.39,0,0,1.78,48.39,0,2.01,0,0,6.22,0,0,0,0,6.51,0,0,0,0,1.56
 72-82,0,3.87,0,0,26.43,0,0,3.99,4.06,2.37,0.58,0,0.61,0,0,2.07,11.35,0,0,3.21,38.62,0,3.96,0,2.21,1.9,0,0,0,0,10.5,0,0,4.74,0,0
 84-94,1.15,5.09,0,0.59,14.28,0,0,0,9.57,0.6,0,0,0.6,0,0,0,7.09,0,0.6,3.22,39.11,0,0,0,0,5.3,0,0,0,0,4.87,0,1.85,0.57,0.88,0
 96-106,0,1.5,0,0,17.24,0,0,0,4.02,2.65,0,1.38,0.99,0,0,0,4.73,0,0,3.25,30.02,0.81,1.42,0,0,1.83,0,0,0,0,1.51,0,0.78,1.6,0.91,0
108-118,0,1.15,0,0,24.03,0,0,0,8.24,1.5,2.01,0,2.14,0,0.6,0.44,13.48,0,0,2.97,58.68,0.51,1.3,0,0,2.04,0,0,0,0,0,0,0,0,0,0.51
120,0,3.51,1.14,0,17.28,0,2.15,0,3.27,0,0,0,0,0,0,0,8.08,1.47,0,3.35,60.91,4.64,2.2,0,0,1.09,0,1.74,0,0,0,15.27,0,0,0,2.59
