stage,epidermis,glial,mesenchyme,neural,spinal.cord
 14-21,0,1.26,0,1.28,0
 24-34,0.64,0,0.89,0.87,0
 36-46,0,0,0,1.12,0
 48-58,2.28,0,0,0,1.16
108-118,0,0,1.17,0,0
