stage,axial,blastomeres,neural,notochord,paraxial.mesoderm,periderm,pgc
  3-4,0,40.23,0,0,0,0,0
  5-6,0,28.36,0,0,0,7.36,0
  7-9,8.5,0,45.8,9.78,4.97,0,0
 10-12,0,0,29.61,0,0,0,8.5
