stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mural_cell,neural,pericytes,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.77,0,0,0,0,0,0,0
 14-21,1.7,0,0,0,0,0,0,0,0,0.97,0,0,1.01,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.85,0,3.14,0,0,1.74,0,1.46,0,0
 36-46,0.6,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,3.83,1.94,0,0.81,0,0.39,0,0.44,0,2.19,0,0,0,3.94,5.62,0,0
 60-70,0,0.66,0,22.62,0,0,0,0,0,0,0,0,0,0,6.75,0,0
 72-82,0,1.67,0,47.02,1.23,0,0,0.55,0,6.34,0,0,0.73,0,1.32,0.93,0
 84-94,0,5.12,0,19.41,1.03,0,0,0,0,2.4,1.75,0,6.73,0,2.15,0.91,8
 96-106,0,1.36,0,66.55,4.09,0,0,4.18,0,1.17,0,3.78,13.76,0,2.06,0,0
108-118,2.84,0.69,0.44,50.2,7.61,0,0.68,2.02,0.46,5.67,0,1.13,11.84,0,0,0,0
120,1.86,6.24,0,197.65,26.58,0,0,0,0,0,0,0,11.52,0,21.64,0,0
