stage,endoderm,epidermis,eye,glial,mesenchyme,neural,olfactory,spinal.cord
 14-21,0,0,0,0,0,6.06,0,9.75
 24-34,0,0,0,0,0,5.42,1.25,4.43
 36-46,0,0,0,0,0,2.13,0,0
 48-58,0,0,1.31,0,0,2.73,0.91,5.42
 60-70,5.18,0,3.23,0,2.4,4.06,0,0
 72-82,0,0,3.28,0,0,11.05,0,1.22
 84-94,0,0,0.62,0,0.89,1.71,2.6,0
 96-106,0,0,5.96,0,0,7.19,1.91,0
108-118,0,0,2.68,0,0,9.28,0,3.34
120,0,4.58,4.67,5.6,0,7.41,1.09,0
