stage,blastomeres,endoderm,erythrocytes,eye,glial,immune,liver,mesenchyme,neural,notochord,otic,pgc,spinal_cord,xanthophores
  3-4,27.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38,0,0,0,0,0,0,0,7.49,0,0,0,0,0
  7-9,0,7.44,0,0,0,0,0,0,15.48,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,17.86,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.07,0,0.89,0,0,1.27,1.69,0
 24-34,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0
 36-46,0,0,0,0.88,0,0,0,0,4.94,0,0,0,0,0
 48-58,0,0,0,1.66,0,0,1.29,0,0,0,0,0,0.68,0
 60-70,0,0,0,8.25,0,0,0,2.6,1.62,0,0,0,5.41,0.97
 72-82,0,0,0,1.52,0.59,0,0,0,5.73,0,0,0,0,0
 84-94,0,0,0,3.61,1.25,0,0,0,6.55,0,0,0,0,0
 96-106,0,0,6.08,1.5,0,0,0,0,2.94,0.62,0,0,0,0
108-118,0,0,0,0,0,0.62,0,0,6.36,0,2.83,0,0,0
120,0,0,4.81,2.2,0,0,0,0,7.54,0,0,0,0,0
