stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.12,0,0,0,3.43,0,0,0,3.33,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,21.57,0,12.94,0,0,0,0
 14-21,0,0,0.84,2.48,0,1.04,1.43,0,7.44,0,0,0,0.8,0,0
 24-34,0,0.65,0,0,1.05,0,0,1.01,15.07,0,0,0,0,0,0.78
 36-46,0,0,0,0,0.69,0.67,0,0,14.08,0,0,0,0,2.78,2.6
 48-58,0,0,0,0,1.98,1.78,0,0,10.67,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.92,11.65,0.71,0,0,0,0,0
 72-82,0,0,0.79,0,1.16,0.86,0,1.09,5.84,0,0,0,0,0,1.28
 84-94,0,0,0,0,0.61,0,0,0,2.58,0,0,0,0,0.96,3.34
 96-106,0,0,0.73,0,0,0,0,0,1.17,0,0,0.65,0,0,0
108-118,0,0,0,0,2.67,0,0.87,0,0.89,0,0,0,0,0,0
120,0,0,0,0,0,0,11.68,0,2.44,0,0,0,0,0,0
