stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,40.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,126.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,0,0,0,8.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.56,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,54.29,14.79,0,0,26.13,0,0,12.27,0,0,0,0,0,0
 14-21,0,0,0,13.97,0,1.96,0,0,0,2.14,0.87,0,0,0,1.08,0,3.11,0,4.97,28.14,0.88,0,1.09,0,6.51,5.09,0,7,14.8,0,0,1.05,0
 24-34,0,0.81,0.64,0,0,1.23,0,0,0,1.82,0,0,2.08,0,0,0,4.81,0,4.23,35.89,2.88,1.76,0.73,0,3.38,0,0,3.71,11.85,0,0,2.96,0
 36-46,0,0,0,1.07,0,1.75,0,0,0,0,0.61,0,0,0,0,0,5.35,0,0,23.58,0,2.6,0,0,1.96,0,2.13,2.35,24.87,0,0,0,0
 48-58,0,0,0,0.47,0,18.02,0,0,0,4.45,0,0,0,0,0.52,0.41,7.21,0,0.88,41.63,0,0,0.51,0,3.45,0,0,0,8.05,0,0,0,0
 60-70,0,0,0,0.95,0,41.57,1,0.89,0.83,1.56,0,0,0,0,0,0,8.81,2.63,0,79.17,0.68,2.85,0,0,1.57,0,1.17,0,11.01,0,0,0,0
 72-82,0,0,0,0.98,0,25.46,0,0,0,1.43,0,0,0,0.52,0,0.68,2.65,0,0,20.69,0,0,0,0,2.26,0,0.53,0,1.34,0,0.66,0,6.63
 84-94,0,0,0,0.6,0,17.36,0,1.04,0,0,0,0,0,0,0.6,0,9.05,0,1.05,14.44,0,0,0,0,7.35,0,0.64,0,6.01,1.17,0,0,0
 96-106,0,0,0,2.58,2.48,32.21,0,0,0,0,1.01,0,0,1.14,0,0,0,0,0,17.39,0,1.2,0,0,3.29,0,0,0,1.32,0,0.89,0,0
108-118,0,0,0,0.93,0,9.21,0,0,1.17,1.39,0,0,1.01,0,0,0,1.57,0,0,9.98,0,0,5.41,0,6.25,0,0,0,0,2.37,0,0,0
120,0,0,0,1.32,0,5.48,0,0,0,0,0,0,3.24,0,0,0,0,0,0,19.85,0,2.89,0,0,1.61,0,2.12,0,0,0,0,0,0
