stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,104.48,1792.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0
  5-6,302.01,1425.23,0,0,0,0,0,0,0,0,0,0,27.85,0,0,0,0,0,0,0,61.67,8.9,0,0,0,0,6.16,0,0,0,0,0,0,0
  7-9,25.24,9.35,29.59,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,252.01,43.92,0,0,67.38,0,0,0,0,0,0,0,0,0
 10-12,0,7.66,5.37,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,92.15,0,0,0,64.08,0,0,3.96,3.51,0,0,0,0,0
 14-21,0,0,1.98,5.62,3.73,0,7.28,0,0,0,0.98,0,0,0,0,0,0,8.93,0,2.74,23.09,0,0,0,6.19,0,0,15.39,0.84,23.44,11.46,0,0,0
 24-34,0,0,0,6.29,0,0,1.86,0,0,0,1.1,0,0,0,1.8,0,0,2.77,0,5.59,27.26,0,1.55,0,0,0,0.74,0,0,1.91,6.07,0,0,0
 36-46,0,0,0,3.81,4.5,0,1.26,0,3.72,0,3.73,0,0,0,0.56,0,0,6.93,0,8.52,15.16,0,2.78,0,0,0,6.88,0,0,0,3.43,0,0,0
 48-58,0,0,0,3.02,0,0,1.6,0,0,1.92,3.98,0,0,0.71,3.68,0,1.04,6.94,0.78,0.41,23.38,0.62,1.84,0,0,0,0.58,0,0,0,2.95,0,0,0
 60-70,0,0,0,4.17,0,0,7.94,2.11,1.2,0.62,7.91,0,0,0,8.42,0,0,7.73,1.4,0,43.79,0,0,0,0,0,1.82,0,0,0,0,3.72,0,0
 72-82,0,0,0,0.53,0,0,3.58,0,0.91,0,3.82,0,0,0,11.92,0,0,31.69,1.31,0.49,31.98,0,0,0,0,0,0,0,0,0,0,2.49,0,0.62
 84-94,0,0,0,4.53,0,0,7.35,0,0.8,0,0,0,0,0,23.46,0,0,22.51,0,1.59,21.78,0,0,0,0,0,2.69,0,0,0,7.83,0.68,0,0
 96-106,0,0,0,14.51,0,0.94,5.54,0,4.2,0,0.96,1.44,0,0,53.37,0.74,0,35.75,0,0,5.97,0,0,0,0,1.57,6.49,0,0.73,0,3.25,0,0.59,0.61
108-118,0,0,0,16.49,0,0,0,0,0.55,0,1.51,0,0,0,41.72,0,0,22.47,0,1.2,33.23,0,0,1.79,0,2.81,0,0,0,0,0,0.75,0,0
120,0,0,0,7.08,0,0,1.66,0,0,0,10.35,0,0,0,83.04,0,0,25.56,0,0,69.2,0,0,1.02,0,0,0,0,0,0,0,0,0,0
