stage,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,156.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.37,0,998.49,0,0,50.82,17.92,0,0,0,0,11.65,0
 14-21,0.89,0.88,0,341.61,0,0,12.87,0,0,0,0,2.91,0,1.01
 24-34,0,0,1.04,153.53,3.5,0.66,9.9,0,0.84,0,0.72,0,0,4.72
 36-46,0,0.83,0,96.99,0,0,11.96,0,0,0.8,0,0,0,0
 48-58,0,0.96,0,58.63,0.76,0.54,0.77,0,0,0,0,0,0,0.72
 60-70,0,0,0,4.37,0,0,1.93,0,0,0,0,0,0,0
 72-82,0,0,0,4.21,0,0,1.16,0,0,0,0,0,0,0
 84-94,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0
