stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0
  5-6,73.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.43,0,0,0,0,0,0,0,0,0,0
  7-9,17.34,0,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.25,0,0,0,11.68,16.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.32,5.97,0,0,26.33,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.87,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.66,14.01,3.84,3.47,0,0,1.16,0,0,2.45,5.88,24.53,0,0,0,0,0
 24-34,0,0.67,0,1.28,0,0,23.12,0,0,0.63,0,0,1.06,0.85,0,0,0,0,2.92,0,0,0,313.67,1.76,0,0,0,4.4,0,0,0,0.99,145.58,0,0,4.95,0,0
 36-46,0,2.86,0,1.52,0,0,45.62,4.44,0,0,6.79,0,0.99,0,0,0,1.07,0,0.78,0,0,2.35,1174.62,0,1.63,0,0,15.43,0,0,0,0,269.59,0,0,5.47,0,0
 48-58,0,0.97,0,12.74,1.26,0,225.65,0.43,3.7,0,19.05,2.58,0.38,0,0,0,0,0,12.1,0,0.87,7.79,2066.49,1.01,0,1.05,0,6.75,0,0.49,0,0,320.49,0,0,2.19,0,6.08
 60-70,0,0,0,17.65,1.42,0,978.15,0,0.82,0,32.37,0,0,0,0.6,0,0,0.72,36.27,0,1.82,0.6,3866.73,3.46,0.58,0,0,3.56,0,0,0,0,430.37,0,0,4.36,0,15.32
 72-82,0,2.16,0,11.48,25.24,0,1589.84,0,0,13.02,69.9,2.03,1.98,2.39,0,2.9,13.56,0.95,53.71,0,2.68,6.57,3852.98,0,1.21,2,0,7.83,1.65,0,0,0,387.37,1.01,0,4,0.52,17.82
 84-94,0,1.56,0,16.48,15.39,0,1472.49,0,0.68,2.63,39.79,0,0,2.45,0,14.33,0,0,38.67,0,4.57,9.19,3035,4.7,0,2.7,0,5.4,0,0,0,0,209.23,0.86,7.62,4.19,0,22.55
 96-106,0,4.93,0,11.41,35.59,0.6,1433.85,2.1,0,1.02,49.85,2.02,0,2.78,0,1.89,10.2,0,35.74,2.95,1.84,4.23,2261.96,0.62,0,3.96,0,11.11,0,0,0,0,112.29,0,2.8,0.73,4.13,12.16
108-118,0,2.53,0,29.76,4.54,1.46,1544.57,1.47,0.54,4.73,58.4,0.51,0,1.58,1.09,0,6.3,0,29.37,0,0,1.69,3172.04,0.92,0,0.54,0,0,0,2.63,0,0,61.65,0,0,5.41,0,0
120,0,0,3.17,34.07,7.96,0,1638.87,0,5.69,5.84,72.59,0,6.72,14.87,0,0,5.74,0,46.7,0,8.25,10.65,4867.4,5.26,0,0,0,1.04,0,0,0,0,39.22,1.37,0,1.33,0,0
