stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,10.04,0,7.54,0,0,0,0,0,0,0,0,0,0
  7-9,79.11,0,3.36,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.72,0,0,0,460.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,390.91,0,413.24,0,20.7,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139.2,15.21,0,0,719.66,0,6.2,12.61,8.72,2313.55,0,9.66,0,0,0,0,0
 14-21,4.07,0,8.5,253.08,125.61,147.65,4.36,0,0,23.96,0,0,0,4.31,0,0,0,0,83.35,0,0,13.46,1335.84,2.55,0,34.08,15.87,0,0.87,4.6,62.48,244.11,0,9.94,57.07,0,0.89,0,0
 24-34,0,0,1.22,75.24,0,210.67,8.6,0,0,0.87,0,0,0,0,0,0.65,0,0,58.84,0,0,4.55,1370.14,0.75,1.24,13.34,0,0,5.81,0,0,49.04,2.32,2.15,100.01,0,2.63,0,0
 36-46,0,0,0,50.25,0,157.61,8.88,0,8.99,1.15,0,0,0,0,0,0,0,8.41,10.76,0,0,1.57,2832.63,1,1.21,14.03,0,0,0,0,0,60.77,0,0,258.64,0,1.73,0,0
 48-58,0,0,2.15,14.65,3.2,169.04,0,0.67,18.48,0,0.93,0,0,0,0,0,0,0,13.82,0,2.52,4.16,4142.33,1.1,0.78,15.54,0,0.61,0,0,0,21.17,0,0,751.82,0,0,0,14.97
 60-70,0,0,5.27,23.61,0,163.72,0,0,27.13,0,0,1.5,0,0,0.66,0,0,0,18.73,0,0,1,3375.48,0,2.36,4.27,0,0,9.06,0,0,40.29,0,0,1675.08,0,0,0,17.56
 72-82,0,0,5.45,11.19,2.06,141.06,1.27,2.32,43.44,0.63,0,0.58,0,0,0,2.3,0,0,27.22,0,0,0.85,1563.88,0,0,26.84,0,0,3.33,0,0,21,0,0,550.87,2.21,3.66,1.33,0
 84-94,0,0,1.91,0.67,7.39,79.9,0,0,26.7,0,0,0,0,0,0,0,0,0,23.2,17.2,14.44,1.08,920.47,0,0,1.48,0,0,0,0,0,71.25,0,0,459.52,0,0,0,0
 96-106,0,0,1.68,6.79,9.73,40.93,1.72,0,47.83,0,0,0,0.56,0,0,0,13.06,0,12.06,0,0,1.97,462.28,0,0,15.43,0,0,5.65,0,0,42.29,0,0,155.72,0,0.74,0,0
108-118,0,0.85,13.8,15.79,3.71,34.84,0,0,51.01,0.44,0,0,0,2.57,0,0,6.18,0,11.26,0,0,0,555.43,0,0,16.43,0,0,0.79,0,0,55.65,0,0,105.34,0,0.48,0,0
120,0,0,5.11,6.58,0,45.49,0,0,39.14,0,0,0,0,0,0,0,0,0,0,0,0,0,756.94,1.57,0,19.24,0,0,0,0,0,66.86,0,0,63.89,0,0,0,0
