stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,25.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,16.73,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,38.09,0,0,0,10.07,0,0,0,0,0,0,0
 10-12,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.72,0,0,0,9.37,0,0,6.27,0,0,0,0
 14-21,0,0,0,12.46,0,108.32,0,0,0,0,0,0,21.91,0,2.48,0.92,47.44,3.9,0,0,1.5,61.59,134.54,0,0,0,0,2.2,0,11.18,1.36,0,84.82
 24-34,0,0,1.87,1.3,0,256.67,0,0,0,0,0,6.68,48.62,0,3.48,1.68,213.88,5.76,0,0,2.54,58.12,19.03,1.19,3.1,0,2.64,0,1.45,8.24,26.51,0,213.09
 36-46,0,0,0.55,13.46,0,178.79,0,0,0,0,0,2.07,148.24,0,17.26,0,226.27,4.01,1.01,1.26,0.98,21.05,18.41,1.14,0,0,8.48,0,0,14.42,8.91,0,180.64
 48-58,0,0,0,0,0,106.87,0,0,0,0,0,1.54,37.52,0,4.53,0,164.52,9.95,0,0,0,36.06,15.93,0,0,0,2.1,0,0.44,3.03,10.01,0,185.51
 60-70,0,0,0,0,0,153.4,0,1.8,0,0,0,9.38,70.75,0,8.03,0,111.66,5.16,0,0,2.3,34.91,10.03,1.75,0,0,9.02,0,0,5.99,14.56,0.81,173.69
 72-82,0,0,0,8.01,0,83.77,1.4,0,1.01,0,0,0.6,57.08,0,4.59,1.68,49.82,7.82,0,9.53,0,24.37,0,2.61,0,0,7.28,0,0.51,6.74,5.31,0,165.1
 84-94,0,0,0.55,10.39,0,158.44,0,0,0,0,0,1.52,101.64,0,10.12,0,92.16,4.86,0,4.15,0,16.93,4.71,0,0,0,17.47,0,0,0,8.41,0,39.14
 96-106,0,0,0.59,1.73,0,109.78,0,0.81,0,0,0,1.71,93.81,0.62,17.4,0,45.48,12.26,0.7,0.76,0,22.75,3.22,2.05,0,0,46.75,0,0,0,10.84,1.92,77.34
108-118,0,0,4.17,1.15,5.22,154.16,0.48,0,0,2.21,0,0.92,102.15,0.52,20.18,1.26,64.34,6.89,0,0,0.75,21.6,12.1,2.53,0,0,41.81,0,0.75,2.16,3.51,0,92.32
120,0,0,4.3,2.57,0,63.16,0,15.29,19.53,1.19,0,0,174.97,4.52,10.09,0,39.43,6.24,0,0,0,48.19,5.54,0,0,0,61.72,0,0,0,10.28,1.96,39.34
