stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1055.95,18859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,1400.55,15744.42,12.33,0,0,0,0,0,0,0,0,71.34,0,0,0,0,0,0,0,0,0,0,0,367.99,58.05,0,0,134.16,0,300.55,0,0,0,0,0,0,0,0,0,0,0
  7-9,110.68,133.53,402.92,0,0,0,784.6,0,0,0,0,300.31,0,0,0,0,0,0,0,0,0,0,0,7218.9,154.57,0,0,2418.93,0,13.38,120.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,230.52,349.42,0,35.69,0,608.2,0,0,0,0,77.95,0,0,0,0,0,0,0,0,0,0,0,6187.07,107.76,0,0,1897.81,0,8.84,42.5,4.75,301.43,0,16.7,18.32,0,0,0,0,0
 14-21,0.93,2.34,22.11,216.75,62.93,0,165.86,0,0,69.97,5.59,2.22,0,6.4,5.37,0,0,0,1.08,95.43,0,0,72.16,2590.88,104.94,8.7,14.22,50.5,0,45.2,4.61,142.06,11.11,1.62,75.81,597.63,0,0,8.1,0,0
 24-34,0,0,4.27,68.84,10.22,0,775.48,1.44,2.04,74.93,3.88,0,3.21,13.07,3.32,3.91,6.04,18.5,0.78,273.21,0,3.25,105.38,4418.72,19.58,24.08,34.09,0,0,62.79,0,3.44,4.56,3.04,16.79,773.47,0,0,61.77,0,29.44
 36-46,0,0,0,64.26,2.89,0,1321.15,0.71,1.89,96.47,1.75,0,1.73,13.41,5.1,6.64,0.57,0,5.4,193.23,0,3.5,56.36,2421.63,0.62,24.28,22.81,0,0,49.78,0.81,3.41,12.82,0,0,471.2,0,0,20.8,0,29.42
 48-58,0,0,1.02,40.08,6.76,0,1719.19,2.45,2.11,112.95,8.57,0,1.26,10.67,5.68,14.77,3.24,6.69,1.72,212.3,1.19,11.64,56.77,1375.8,3.33,2.06,24.57,0,0,21.11,0,0,0.82,0,0,162.39,0,0,17.84,0,12.73
 60-70,0,0,0,57.04,4,0,944.05,4.35,2.23,154.3,7.27,0,0,11.45,0,28.33,5.26,2.32,7.55,163.17,3.92,19.41,17.9,763.7,0.75,5.26,5.98,0,0,5.1,0,0,0,0,0,45.01,0,0,16.89,0,2.71
 72-82,0,0,0,31.82,4.97,0,404.19,0,1.76,127.77,8.07,0,3.75,11.06,6.5,8.5,3.26,0.79,3.15,159.96,1.52,4.62,20.13,415.5,0.5,8.17,15.72,0,1.03,10.47,0,0,0,0,0,11.28,0.73,0,13.22,0,1.1
 84-94,0,0,3.02,40.62,4.15,0,354.91,2.31,2.75,56.94,16.04,0,0,9.16,7.94,7.61,1.62,11.48,0,169.39,1.76,8.96,37.13,376.74,1.96,10.49,7.29,0,0.57,16.7,0,0,7.44,0,0,5.99,2.63,0.57,25.59,0,6.14
 96-106,0,0,0,34.01,9.28,0.8,246.25,3.26,0,101.88,10.68,0,3.09,30.23,8.38,7.21,3.41,2.1,4.07,94.39,1.93,3.31,18.56,300.12,1.82,10.98,3.13,0,2.4,13.85,0,0,2.46,0,0,10.04,3.19,0.92,27.11,2.23,0
108-118,0,0,0.74,31.39,19.46,0.86,289.39,0.46,0.89,90.25,6.91,0,1.42,24.36,4.22,7.4,2.04,5.75,0.66,95.8,0.63,3.89,18.11,444.56,4.54,7.14,11.36,0,0.76,12.52,0,0,2.52,0,0,2.08,3.56,0,26.93,0,1.3
120,0,0,0,25.33,25.68,1.61,266.42,0,0,152.97,10.46,0,3.08,18.58,6.93,1.74,4.2,10.81,0,82.27,0,12.47,5.18,504.92,1.1,1.27,5.44,0,0,1.37,0,0,0,0,0,11.9,0,0,21.45,2.31,0
