stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,38.1,1036.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.21,0,0,0,0,0,0,0,0,0
  5-6,11.4,239.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,19.18,3.7,27.28,0,0,0,37,0,0,0,0,19.31,0,0,0,0,0,0,0,0,0,239.49,0,0,0,75.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.56,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.02,0,0,0,44.05,0,0,0,3.37,0,0,0,0,0,0,0
 14-21,0,0,0,4.27,0,0,0,0,0,0,0,0,0,1.31,0,0,33.16,0,1.95,0,2.72,9.22,0.95,0,2.45,1.52,0,2.35,1.85,0.9,0,3.73,2.13,0,0.93,0,0
 24-34,0,0,0,1.49,1.27,0,0.69,0,0,0,0,0,0,0,0,0,15.2,0,1.96,1.52,2.23,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0
 36-46,0,0,0,0,0,0,1.36,0,0.88,0.83,0,0,0,0,0,0,8.48,0,8.28,0,2.54,18.43,0,0,0,0,0,1.12,0,0,7.13,0,0,0,7.81,0,0
 48-58,0,0,0,0,0,0,1.97,0,0.69,76.58,0,0,0,2.48,0,0,0,0,9.38,0,2.39,12.1,0,0,0,0,0,0.46,0,0,0,0,3.81,0,1.03,0,0
 60-70,0,0,0,0,0,0,4.12,0,0,245.23,0,0,0,0,1.28,0,0,5.63,30.96,0,3.98,50.49,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0
 72-82,0,0,0,2.73,0,0,28.55,0,0,307.89,0,0,1.15,3.51,2.96,1.72,0,0,14.4,1.17,0,44.94,0,1.06,0,0,0,0.72,0,0,0,0,3.28,0.49,2.77,1.26,0
 84-94,0,0,0,0,5.13,0,27.04,0,0,368.28,0,0,0,0,0,0,2.26,0,41.87,0,0,7.32,0,0,0,0,0,0,0,0.64,0,0,0,0,1.45,0,0
 96-106,0,0,0,2.04,14,0,16.03,4.46,0,407.55,0,0,0,11.04,2.68,0,9.15,0,28.79,2.74,8.89,92.39,0,0,0,0,13.09,1.29,0,0,0,0,3.56,0,10.07,0.68,0.75
108-118,0,0,0,0,0,0.82,25.21,0,1.35,488.45,1.03,0,0,1.01,10.67,1.02,15.82,3.88,16.77,0,0,29.57,0,0,0,0,0,1.88,0,0,0.41,0,5.39,0,0,0.54,1.37
120,0,0,0,4.46,0,0,70.47,0,0,315.91,0,0,0,1.65,0,0,194.83,1.51,7.04,0,0,23.02,0,0,0,0,0,0,0,0,0,0,0,0,5.89,2.27,0
