stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0.82,0,0,0,0.8,0,0,0,4.13,0,2.85,7.08,0,0,0
 24-34,0,0,0,1.84,0,0,0,38.01,0,0.65,0,0,0,5.65,1.36,0,2.76,0,0,0
 36-46,0,0,0,1.79,0,2.45,0,88.16,0,0,0,0,1.11,17.27,10.49,1.97,4.28,0,6.8,0
 48-58,0,6.62,0,0.61,0,0,0,55.4,0,1.8,0,0,0,11.03,3.29,1.9,0.67,0,0,0
 60-70,0,20.05,0,7.19,0,0,0.57,34.03,0,1.87,0,0,2.22,29.77,4.55,4.45,2.36,2.34,0,0
 72-82,0.69,4.46,1.69,20.92,0,0,5.41,26,0,1.79,0,1.11,0,22.22,7.18,0.91,0,18.29,0,0
 84-94,2.23,23.6,0,13.63,0,0,8.05,42.47,0.94,9.32,0,0.72,0,14.66,7.59,6.35,1.48,25.63,0,0
 96-106,0,33.45,0,6.96,0.59,4.86,6.77,40.87,1.36,5.05,0,0,0,29.11,5.93,4.62,0,31.18,0.57,4.12
108-118,2.5,58.96,0,8.61,0,2.86,10.02,32.02,0,9.08,0.59,0,0,22.97,2.02,3.71,0,29.32,3.28,3.15
120,0,51.65,0,11.81,0,0,4.39,86.96,0,0,0,0,0,40.73,1.54,2.29,18.15,16.76,0,0
