stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.81,0,0,0,0,0,0,0,0,0
 10-12,0,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.79,0,0,0,4.4,0,0,0,0,0,0
 14-21,2.67,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,41.33,0,0.92,0,0,0,30.59,0,0,0,0
 24-34,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,321.23,0,8.02,0.69,0,0,96.99,0,0,0,0
 36-46,0,0,0,0,67.95,0,5.15,0,0,2.39,0,0,0,0,7.1,0,0,1234.96,0,18.45,0,0,10.15,256.38,0,0,0,0
 48-58,0,0,9.33,0,161.16,0,9.31,0,0,0,0,3.42,0,0,1.59,0,0.47,1476.18,0,3.96,0,0,0,321.3,0,0,0,2.65
 60-70,0,0,0.77,0,371.87,1.06,14.75,4.04,0,0,0,0,0,0,0.64,7.4,5.92,1948.39,0,6.96,0,0,1.32,331.09,0,0,0,10.16
 72-82,2.01,0,0.54,0.59,373.27,0,5.28,0.71,1.25,1.06,0,0,0,0,8.96,0,0,1407.35,0,4.12,0,0,0,172.54,2.34,0,1.15,0
 84-94,0,0,1.79,0.65,242.16,0,8.49,1.63,0,0,0.61,0,0,0,13.7,0.66,6.52,859.27,0,0.71,0.72,0,2.53,113.35,0,1.36,0,0
 96-106,1.38,0,5.03,1,166.19,0,6.28,2.35,0,0,0,0,0.61,9.55,10.52,0,0,661.36,0,9.92,0,0,0.58,51.69,0,0,0,0
108-118,0,0,5.33,1.88,194.47,0,9.13,0,0,0,0,0,0,0,11.87,0,0,735.96,0,6.45,0,0,1.01,57.64,0.45,0,0,0
120,0,0,3.97,0,144.64,0,8.06,0,0,0,0,0,0,0,4.67,0,0,1119.28,0,1.29,0,0,3.32,10.14,0,4.18,0,0
