stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.72,400.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0,0
  5-6,15.74,128.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,15.71,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.64,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32,4.49,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.5,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,27.61,0,0,0,23.65,0,6.59,0,13.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.68,6.53,1.37,5.75,0,0.95,0,0,0,0,0,0,0,0,0,0,6.08,0,0,8.99,20.36,0,0,0,1.06,0,0,15.01,0,2.08,13.72,2.95,0,0,0,0,1.35
 24-34,0,0,0,0,11.49,0.66,1.23,0,0,0,0,0.67,0,0,3.08,0,0,0,0,10.01,0.7,0,6.74,6,0,0,0,0,0,0,0,0,1.16,2.49,2.59,0,0,1.69,0,0
 36-46,0,0,0,0,18.86,0,2.33,0,2.58,0.6,0,0,0,0,3.67,0,1.73,0,0,9.92,0,0,3.59,6.21,0,0,0,0,0,0.6,0,0.6,0,0.83,0.6,0,0,1.5,0,0
 48-58,0,0,0,0,16.47,0,1.6,0.98,2.16,4.75,1.38,0.77,0,0,1.25,0,0,2.22,0,8.84,0,0,5,6.15,2.52,0,1.54,0,0,2.14,0,0,1.46,0,0,0,0,7.91,0,0
 60-70,0,0,0,0,14,0,0,0,16.73,0.63,7.84,0,0,0.9,1.37,0,0,0,0,13.15,0,0.65,0.83,5.68,0,0,0,0,0,0,0,0,0,0,2.96,0,0,1.45,0,0
 72-82,0,0,0.68,0,5.71,0,5.22,0,0,1.64,6.69,0,0,1.63,0,0,0,0.62,0,52.47,1.05,0.72,2.16,13.8,0,0,0.53,0,0,0.58,0,0,0,0,0.89,3.65,3.57,10.76,0,8.95
 84-94,0,0,0,0,6.94,0,4.4,0,2,0,0,3.08,0,0,1.47,0,0.59,1.22,0,31.3,0,0.72,5,0,1.43,0,4.16,0,0,0.59,0,0,0,0,2.17,0,0,3.05,3.01,0
 96-106,0,0,0,0,5.1,0.98,5.09,0.93,0,0,12.24,0.71,0,0.71,2.3,0,0,0,0,52.95,3.88,5.05,13.68,17.17,0,0.89,2.34,0,1.17,6.74,0,0,0,0,0.68,2.03,0.77,18.86,3.06,0
108-118,0,0,0,0,14.07,0,1.46,0.75,9.24,2.32,8.21,1.86,0,1.68,2.02,2.58,0.95,0,1.67,81.4,2.75,1.27,6.69,11.8,2.07,0,1.11,0,0,1.19,0,0,0.69,0,0,0.42,0,23.67,1.22,0
120,0,0,0,0,23.41,0,11.96,0,8.5,5.31,28.78,1.68,0,0,1.17,0,1.69,0,0,74.46,0,18.32,15.29,0,0,1.15,0,0,0,9.11,0,0,0,0,0,2.31,0,28.6,1.99,0
