stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,17.64,8.26,0,0.9,0,0,0,1.13,0,0,1.45,0,23.23,0,0,2.8,0,2.87,2.95,0,12.06,54.87,0.85,0,0,0,3.36,5.15,7.52,1.07,1.34,22.73,0,0,1,0,0
 24-34,0,3.25,0,0,16.35,0,1.9,0,1.08,0,1.39,0.75,1.2,50.4,0,3.98,1.22,0,8.08,32.93,0,1.35,187.5,0,17.2,1.17,2.91,15.4,0,22.44,0,0.66,26.46,0,0,5.43,0,0
 36-46,0,5.29,0.61,0,16.82,0,1.06,0,2.18,0.58,0.76,1.05,0,35.78,0,0,0,3.16,7.19,8.69,0,1.86,256.57,0,16.33,1.9,7.92,39.53,0,23.14,0,0,25.22,0,0,6.36,0,0
 48-58,0,12.15,0.85,0,40.72,0,0,0.43,5.65,0.51,5.45,0.52,1.85,29.03,0,1.15,1.47,0,12.08,20.24,0,1.55,208.78,1.39,21.53,0,0,18.24,0,5.54,0,0,25.56,0,0,1.61,0,0
 60-70,0,8.91,0,0,54.6,0,0,0,8.85,0.72,2,0,1.85,28.2,1.29,6.73,0,0,10.35,10.07,0,0,183.41,0,18.89,12.15,0,8.73,0,4.22,0,0,20.67,1.99,0,3.34,0,0
 72-82,1.57,6.16,13.87,0,61.61,8.57,1.46,0,16.12,4.07,2.21,0.9,6.23,11.28,0,4.92,1.23,0,25.02,11.69,0.51,2.26,177.48,0,38.83,5.91,0,27.96,0,9.48,0,0,3.92,9.39,0,2.2,0,8.1
 84-94,1.64,14.65,14.62,0,41.81,0,3.01,0.74,5.1,9.63,1.87,0,16.33,26.5,1.06,4.19,0,0,21.9,21.17,0,1.74,114.33,0,31.77,2.17,0,35.87,0,14.17,0.61,0,15.34,19.57,0,1.96,3.01,0
 96-106,2.28,29.66,9.99,0.9,40.96,0,0,0,13.96,26.9,0,0,9.65,27.25,2.23,14.19,25.2,0,25.3,23.16,1.17,2.2,91.52,0,34.83,3.22,0,59.99,0,23.38,0,0,15.31,40.76,1.2,12.3,4.72,9.67
108-118,1.72,27.91,5.29,0.98,46.3,0.78,4.82,1.78,10.9,46.31,0,0,18.27,40.71,0.64,2.86,0.94,0,20.98,24.03,0,1.41,106.42,0,36,11.94,2.05,48.8,0,25.62,0,0,4.64,84.94,0,1.49,1.61,0.41
120,0,47.89,15.46,4.9,29.01,0,1.57,0,0,51.42,0,0,27.96,31,0,8.58,0,1.64,2.45,1.59,0,1.9,126.88,12.78,79.28,11.69,0,40.31,0,38.22,0,0,0,45.36,0,14.67,0,0
