stage,eye,glial,mesenchyme,neural,spinal_cord
 14-21,0,0,1.3,0,1.3
 24-34,0,0,0,1.67,0.77
 48-58,0,0,1.42,0.72,0
 60-70,0,0,0,0.85,0
 72-82,4.02,0,0,0,0
 96-106,0,0,0,2.11,0
108-118,0,1.17,1.39,0,0
120,2.87,0,0,0,0
