stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0
  5-6,0,150.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.83,0,0,0,0,0,7.39,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,115.72,4.29,0,0,26.67,0,0,6.94,0,0,0,0,0,0,0,0
 10-12,3.8,4.41,12.68,0,0,0,28.78,0,0,0,0,0,14.08,0,0,0,0,0,0,0,0,238.51,9.18,0,0,79.08,0,0,5.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.3,2.06,0,0,0,0,0,1.75,3.11,0,0,0,0,0,4.86,0,0,3.85,37.27,2.92,0,0,8.76,0,0,0,3.68,0,7.83,0,0,1.14,0,0
 24-34,0,0,0,3.46,0,0,3.61,0,2.48,0.69,1.48,0,0,0,0,0,1.83,3.96,0,0,4.2,55.36,1.32,1.06,1.09,0,0,6.21,0,0,0.64,8.41,0,0,0,0,0.69
 36-46,0,0,0,3.84,0,0,11.41,0,0,0.78,3.16,0,0,0,0,0,0,5.35,1.01,0,2.72,54.08,0,0,1.13,0,0,7.71,0,0,0,4.79,0,0,0,0,0
 48-58,0,0,0,2.9,0,0,18.09,0,0.41,0.46,3.75,0,0,0.58,0.44,0,0.43,9,0,0,0.55,53.39,0,0.53,0,0,0,0.68,0,0,0,13.95,0,0,0.41,0,1.48
 60-70,0,0,0,6.5,0,0,42.4,0,0,0,28.1,2.6,4,0,2.43,0,0,22.92,0,0.86,2.42,68.13,0.62,0,0.65,0,0,3.93,0,0,0,5.08,0,2.51,0,0,5.63
 72-82,0,0,0,3.58,0,0,15.14,0,0,0,6.61,0.59,0,0,0,0,0,16.17,0,0,1.01,48.95,0,0,2.43,0,0,0.83,0,0,0,18.29,0,0,0.73,0,0
 84-94,0,0,0,4.61,3.7,1.06,22.99,0,1.89,0,15.33,2.25,0,0,0,0,0,29.3,1.78,0,2.31,28.99,0.65,0,0,0,0,3.23,0,0,0,4.67,1.06,0,0,0,0
 96-106,0,0,0,4.43,0,0,15.25,0,0,0.77,8.4,2.18,0,1.26,1.73,0,0,25.31,0,0,1.64,58.2,0,1.2,0,0,0,0.7,0,0,0,1.89,0,0,1.37,0,1.19
108-118,0,0,0,5.44,0,1.73,34.63,0.54,2.65,1.77,17.69,1,0,3.88,0.67,1.82,0.56,28.72,0,0,0,45.73,0,0,0.54,0,0.91,0.88,0,0,0,0,1.24,1.18,2.26,0.73,0.57
120,2.37,0,0,15.26,0,0,8.76,0,0,0,24.44,0,0,0,0,0,2.13,14.77,0,0,1.82,107.51,0,4.78,0,0,0,7.99,0,0,0,16.87,0,0,20.85,0,0
