stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,69.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.75,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,16.08,0,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,8.02,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,21.87,0,0,0,16,0,0,0,0,0,0,0,0,0
 14-21,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.04,0,0,0,0,0,1.9,0.86,122.96,0,0,0,0,0
 24-34,0,13.81,0.77,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,870.52,0,0,0,0,0,0,0,426.24,0,0,5.87,0,0
 36-46,0,14.48,2.82,0,0,33.5,0,0,0.71,1.43,0.76,0,0,1.49,0.62,0.68,0,0,0,2126.16,0,0,0,0,3.63,0,0,659.48,0,0,6.93,0,1.45
 48-58,0,21.82,8.78,0,0,108.84,6.06,7.59,2.3,8.54,0,0,0,3.43,0,10.98,0,0.37,0.55,2804.96,0,0.72,0,0,8.05,0,0,881.28,0,0,0,0,0.48
 60-70,0,3.72,0,0,0,181.85,0.63,0,0,6.24,0,0,3.92,1.16,1.34,13.02,0,0,0,1661.62,0,0,0,0,2.28,0,0,787.51,0,0,7.34,0,0
 72-82,0,14.34,35.52,6.73,0,250.98,0,0,0,4.57,0,0,1.38,0.93,0,25.24,0.93,0,0.79,1467.67,0,0,1.06,0,0,0,0,322.38,0,0,1.39,0.68,0
 84-94,0,6.77,1.33,0,0,151.32,0,0.56,2.61,12.96,1.94,0,0.78,0,0,6.97,0,0,0.6,799.44,0,0,0,0,2.39,0,0,178.77,0,1.64,0.92,0,0
 96-106,0,5.28,7.24,0,0,135.83,0,0,0,19.61,0,0,0,0,0,5.72,0,0,0,523.26,0,0,0,0,0,0,0,102.44,1.57,0,0,0.96,0
108-118,0,14.25,4.93,1.44,1.62,101.16,0,0,0,3.89,0,0,1.67,0,0,3.84,0,0,1.84,644.68,0,0,0,0,1.27,0,0.58,47.63,0,0,0,0.57,0
120,0,3.05,13.98,0,0,97.78,0,0,0,0,7.43,0,0,0,0,7.01,0,0,2.28,1100.62,0,0,27.1,0,0,0,0,49.9,0,0,0,0,0
