stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.58,1644.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
  5-6,59.66,452.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.94,0,0,0,0,45.48,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.26,10.75,0,0,51.02,59.26,0,0,0,0,0,0,0,0,0
 10-12,0,11.36,0,5.06,0,0,0,0,0,0,0,0,26.12,0,0,0,0,0,0,0,0,0,104.13,0,0,0,73.19,42.08,8.5,0,3.43,0,0,0,0,0,0
 14-21,0,0,0.82,0,68.2,2.16,0,0,0,0.88,0,6.85,0,1.84,0,8.31,0,0.93,1.69,2.58,0,0,9.65,5.79,0,0,0,91.06,0,40.29,0,7.93,0,0,7.74,0,0
 24-34,0,0,2.46,0,22.9,0,0,1.04,0,6.32,0,0.92,1.14,0,0.87,54.89,0.78,1.38,2,2.49,0,0.94,29.31,0,5.41,1,0,147.45,0,0,5.04,8,4.46,0,37.62,0,0
 36-46,0,0,0,0,16.16,0,0,3.7,0,1.89,2.47,0,0,0,1.86,38.04,2.35,3.26,3.65,5.17,0,0,55.33,12.66,22.47,1.66,0,235.84,0,0,5.48,0,4.1,0,49.08,0,0
 48-58,0,0,0,0,16.29,0,0,9.51,0,7.78,0.87,0,0,0,1.97,14.5,4.33,0.65,7.8,7.36,0,0,73.17,0,20.33,1.62,0,140.09,0,0,0.51,0,9.33,0,16.65,0,2.47
 60-70,0,0,0.6,0,40.66,0,0,34.04,0,6.59,0.81,7.95,7.79,0,13.45,42.86,0,0,4.4,3.04,0,0.75,39.54,0,15.86,0.95,0,78.9,0,0,2.54,0,8.03,0,18.44,0,0
 72-82,0,0,4.57,0,15.22,0.94,0,24.31,1.65,1.87,2.22,6.82,0,0,2.72,20.62,1.77,3.49,3.64,3.02,0,0.58,55.12,0,24.57,7.87,0,58.24,0,0,1.58,0,1.09,5.89,46.95,0,0
 84-94,0,0,7.58,0,38.8,4.21,0,58.02,0,9.84,0,19.85,0.7,0,7.94,31.82,6.17,0,5.38,5.46,0.71,0.78,26.92,0,11.6,7.43,0,142.49,0,0,2.3,0,0,7.42,18.69,0.68,0
 96-106,0,0,1.8,0,36.81,0,1.71,8.47,0,6.43,3.54,13.01,0,0,10.24,44.03,16.3,3.67,6.42,6.1,0,0.62,47.4,0,15.96,5.86,0,119.05,0.7,0,4.48,0,0,10.59,27.53,4.89,8.67
108-118,0,0,1,0.74,50.93,0,2.57,21.85,0,11.54,2.69,15.17,0,0,7.88,61.97,7.17,4.22,7.22,1.11,0,2.38,29.08,0,10.92,5.2,0,92.7,0,0,1.84,0,0,9.62,23.89,0.89,0
120,0,0,2.94,0,73.13,0,1.65,42.5,0,9.65,0,31.21,0,0,14.32,32.54,0,3.92,0,6.25,0,0,26.88,0,43.81,10.23,0,53.23,0,0,3.55,0,0,3.15,9.59,0,0
