stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,19.49,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.22,0,0,0,4.78,0,0,0
 10-12,0,0,0,0,0,11.96,0,0,0,0,0,0,0
 14-21,0,3.39,0,0,0.98,5.56,0,0,0,0,0,2.59,0
 24-34,0,0,0.86,0,2.22,7.93,0.63,0,0,0,0,0,1.28
 36-46,0,0,1.34,0,0,1.71,0,0,1.66,0,1.48,0,0
 48-58,0,0,2.71,0,0,7.97,0,0,0.7,0,0.57,0,0
 60-70,0,0,1.26,0,1.05,0.82,0,0,0,0,0,0,0
 72-82,0,0,0.57,3.84,2.17,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.7,0,1.88,0,0,0,0,0
 96-106,0,0,0,1.1,0.76,0,0,0,0,0,0,0,4.19
108-118,0,0,0,0,2.11,0,0,0,0,0,0,0,0
