stage,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm
  3-4,146.11,0,0,0,0,0
  5-6,91.24,0,0,0,0,0
  7-9,0,0,0,36.48,0,19.44
 10-12,3.88,11.82,5.97,151.62,12.85,38.04
