stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  3-4,0,115.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,103.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.51,4.3,0,0,0,0,0,0,0,0,30.27,33.58,0,10.61,0,0,0,0,0
 10-12,0,0,4.62,0,4.33,0,0,0,0,0,40.62,21.7,0,0,0,0,0,0,0
 14-21,0,0,0,1.82,0,0,0,0,2.03,2,3.79,0,3.92,0,2.99,6.74,18.83,4.02,0
 24-34,0,0,0,0,0.88,2.5,0,0,3.14,15.69,10.64,0,0,0,0,3.4,8.83,3.53,0
 36-46,0,0,0,0,1.3,13.25,0,0,4.1,1.58,6.06,0,0,0,0,5.06,2.04,2.02,0
 48-58,0,0,0,0,0,5.4,0.39,0,1.31,6.1,1.95,0,0,0,0,3.42,0,2.88,0
 60-70,0,0,0,0,0,9.12,0,0,0.59,10.85,2.81,0,8.86,0,0,2.72,0,0,0
 72-82,0,0,0,0,0,0.96,0,0,1.47,1.19,2.28,0,0,0,0,6.03,0,0,1.33
 84-94,0,0,0,0,4.88,11.47,0,0,0,13.05,5.1,0,0,0,0,1.27,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.45,0,1.93,0,0,0,0,0,0,0,1
108-118,0,0,0,0,4.89,0,0,0.68,1.3,3.14,2.34,0,0,0,0,1.77,0,0,2.75
120,0,0,0,0,9.86,2.44,0,0,0,0,0,0,0,0,0,0,0,0,1.59
