stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,188.08,2904.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.8,0,0,0,0,0
  5-6,168.83,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.33,8.9,0,0,16.11,0,40.13,0,0,0,0,0
  7-9,19.7,29.9,0,4.39,0,0,38.59,0,0,0,0,0,0,0,0,0,528.88,7.54,0,0,179.74,0,0,11.29,0,0,0,0
 10-12,0,0,0,0,0,0,11.87,0,0,0,0,0,0,0,0,0,38.99,0,0,0,3.16,0,0,10.65,0,7.7,0,0
 14-21,0,0,0,0.85,0,0,1.42,0,10.12,0,0,0,0,0,2.28,0,10.91,0,0,0,1.19,0,0,2.84,0.82,5.39,47.69,0
 24-34,0,0,0.6,0,0,0,2.24,0,27.27,0,0,0,1.61,0,3.4,0,35.7,0.75,1.54,0,0,0.99,0.92,1.47,0,11.15,41.84,0
 36-46,0,0,0,0,0,0,3.22,0,30.72,0,0.81,0,0,0,0,0,24.35,0,0.81,0,0,0,0,0,0,8.78,52.79,2.42
 48-58,0,0,0,0,0,0,6.44,0,40.81,0,0,0,0,0,0,0,23.57,0,1.44,0.38,0,0,0,0,0,9.56,29.44,0
 60-70,0,0,1.23,0,0,0,50.19,0,46.58,0,0,0,0,0,0,0,18.52,2.62,2.43,0,0,0,0,0,0,0.65,24,0
 72-82,0,0,0.69,0,3.59,0.54,62.22,0.9,82.38,0.64,0,0.62,0,0,0,0,48.01,0,4.45,1.04,0,0,0,0,0,0,51.36,0
 84-94,0,0,0,0,0,0,33.68,0,31.16,0.76,0,0,0,0,0,0.68,23.64,0,4.54,0.72,0,0,0,0,0,0.58,19.14,0
 96-106,0,0,1.14,0,0.6,0,30.91,0,35.76,1.73,0,0,0,0.58,1.49,0,29.95,0,3.67,2.05,0,0,0,0,0,1.31,30,0
108-118,0,0,0,0,0,1.58,51.1,0,46.96,0,1.03,0,0,0,1.26,0,54.7,0,8.22,3.34,0,0,1.42,0,0,0.64,13.28,1.28
120,0,0,0,0,0,0,18.96,0,30.19,0,0,0,0,0,0,3.33,41.61,0,18.39,0,0,0,0,2.3,0,0,8.41,0
