stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.21,6.25,0,0,11.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.22,0,10.78,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,38.54,0,0,0,22.6,0,0,0,7.73,0,0,0,0,0,0,0
 14-21,0,0,4.33,11.46,0.91,0,0,0,0.91,0,0,0,0,0,0,3.3,0,7.35,40.21,0.99,0,0.89,0,0,0,2.7,0,0,2.77,12.38,0,0,1.24,0
 24-34,0,0,11.86,2.27,30.73,0,0,0.78,6.98,0.67,0,0,0,0,0,23.42,0.82,10.6,238.58,0,0.65,3.03,0,0,2.24,0,1.08,5.14,6.72,40.57,0,0,20.75,0
 36-46,0,0,2.32,8.68,100.44,7.97,6.76,2.07,12.44,0,0,0,0,0,0,42.51,1.35,3.41,265.99,0,0,0,0,0,0,0,0,0,0,29.23,0,0,15.55,0
 48-58,0,0,0,0,158.49,0,0,0.45,18.03,0.69,0,0,0,0.78,0,36.75,2.39,11.35,210.28,3.07,0,0.55,0,0,0,0,0,0,0,34.28,0,0,4.82,0
 60-70,0,0,0.97,0,323.45,2.69,0,1.04,9.7,0,0,0,0,0,0,43.5,1.12,2.33,132.67,2.55,0,3.26,1.62,0,0,0,0,0,0,4.93,0,0,4.32,0
 72-82,0,0,1.35,0,215.39,2.37,0,0,7.04,1.07,0,0,0,0,0,108.91,6.86,8.15,58.11,0,2.25,2.06,0,0,0,0,0,2.66,0,2,0,2.96,1.63,1.05
 84-94,0,0,5.75,0,201.15,5.83,0,0,10.67,5.46,0,0,0,0,0,94.84,10.09,3.72,40.42,0,0,0,0,0,0,0,2.42,0,0,3.59,1.63,0.84,4.22,6.26
 96-106,0,0,3.81,0,202.2,5.4,0,0,20.15,8.44,0.61,2.81,0.66,0,0.63,39.29,5.42,4.59,13.43,0,2.46,1.52,0,0,1.81,0,0,0,0,6.99,0,0.96,1.44,1.86
108-118,0,0,6.61,0,152.63,1.52,0.43,0,7.5,0,0,0,0,0,0,76.84,6.6,4.74,38.09,0,0,3.02,0,0,2.38,0,0.46,0,0,4.69,0,1.18,2.87,0
120,0,0,0,0,233.54,11.63,0,0,24.25,5.1,0,0,0,0,0,60.53,1.38,1.03,91.83,0,0,1.73,0,9.58,0,0,1.2,0,0,2.03,0,0,0,0
