stage,exocrine.pancreas,eye,glial,mesenchyme,neural,pericytes,spinal.cord,vasculature
 14-21,0,0,0,0,1.29,0,0,0
 24-34,0,0,0,0,1.6,0,1.37,0
 36-46,0,0,0,0,11.56,0,2.89,0
 48-58,0,2.85,4.86,0,7.54,0,0,0
 60-70,0,13.15,0,0.74,6.65,0,3.48,4.26
 72-82,0,11.26,0,2.78,0,0,4.25,0
 84-94,0,0.78,0,5.43,17.56,0,0,0
 96-106,0,1.45,0,1.33,1.99,1.92,0,0
108-118,0,0.87,0,0.91,4.84,0,0,0
120,3.69,10.54,0,0,0,0,0,0
