stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,376.19,7981.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,1324.58,12722,0,35.43,0,0,0,0,0,0,0,50.04,0,0,0,0,0,0,0,0,0,0,0,606.28,20.07,0,0,16.84,0,329.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,159.03,483.07,0,669.91,0,11.93,1220.67,0,0,0,0,646.92,0,0,0,0,0,0,0,0,0,0,0,12661.52,293.55,0,0,4820.1,0,13.54,175.82,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,252.35,0,382.52,0,46.87,541.65,0,0,0,0,84.61,0,0,0,0,0,0,0,0,0,0,0,6726.26,105.26,0,0,2639.39,0,17.9,91.9,14.38,238.7,0,15.59,5.88,0,0,0,0,0
 14-21,0.89,0,4.55,27.02,470.54,77.52,124.18,0,0,29.66,15.8,60.16,10.78,0,9.33,0,2.1,1.15,3,172.75,1.36,0,115.94,1207.87,134.47,5.58,15.25,17.72,0,213.75,0,152.69,13.44,38.92,220.49,369.26,0,0,12.92,0,1.14
 24-34,0,0,0,2.84,34.06,10.37,330.48,0.7,0.61,29.95,0,0,6.92,3.01,1.75,1.81,2.21,0.67,0,179.4,0,0,45.33,2376.99,4.36,22.85,17.45,0,2.91,45.91,0,0,0,0,8.98,506.65,0,0,24.6,0,3.18
 36-46,0,0,0,0,33.23,29.01,966.82,1.14,0.58,54.87,0.68,0,0.73,0,0,2.8,3.18,1.07,0,207.5,0,6.72,44.89,2036.15,3.21,15.89,6.97,0,0,14.34,0,1.63,0.62,0,0,343.32,0,0,30.22,0,16.44
 48-58,0,0,0,0.42,24.74,8.04,1112.78,0,1.18,81.61,0,0,0,0.42,0.4,1.48,6.01,0,0,155.58,0,9.87,23.52,887.18,1.29,3.58,7.92,0,0,3.5,0,0,0,0,0,100.58,0,0,15.25,0,6.31
 60-70,0,0,0,0,19.15,3.41,944.26,3.27,0,58.2,3.48,0,0,3.46,0,5.18,4.51,0,9.3,173.01,3.37,3.34,15.65,536.54,8.55,1.17,2.11,0,1.1,6.33,0,0,0,0,0,29.03,0,0,11.72,1.79,1.82
 72-82,0,0,0.5,0,17.39,16.02,219.09,0,2.78,28.66,1.38,0,1.8,4.59,0.93,2.69,0,4.54,0,76.14,0.56,7.09,10.5,146.34,0.62,2.01,2.42,0,0.71,0.67,0,0,0,0,0,12.11,2.69,0,4.07,0,0
 84-94,0,0,0,0,22.88,35.94,240.74,0.86,3.15,34.97,5.38,0,1.31,5.48,3.28,0,2.4,3.03,0,107.5,0.71,13.18,17.04,214.41,4.03,1.47,2.53,0,0,6.96,0,0,0,0,0,23.07,2.8,0.71,14.68,0,2.78
 96-106,0,0,0,0,9.75,46.25,103.72,0,0,15.61,4.29,0,0.62,5.19,1.72,0,1.2,0,0,30.91,0,0.68,5.89,121.6,0,3.16,0.58,0,0,7.71,0,0,0,0,0,4.86,0.66,0,3.38,0,0
108-118,0,0,0,0,4.76,45.1,111.71,0,0,25.31,2.08,0,0,5.04,0,3.21,3.16,0.46,0,35.82,0,2.3,5.59,146.28,0,1.62,4.35,0,0,2.38,0,0,0.87,0,0,0,0,0,2.81,0,0.92
120,0,0,0,0,7.86,25.89,225.96,0,0,51.61,3.27,0,5.18,15.52,0,0,0,3.84,0,46.24,0,2.08,13.97,268.59,0,0,3.28,0,0,4.27,0,0,0,0,0,6.68,0,0,13.01,6.55,0
