stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,88.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.74,91.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.48,0,0,6.76,0,0,0,0,0,0,0,0,15.2,0,0,6.3,0,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,34.65,0,0,0,0,0,0,0
 14-21,0,0,1.1,1.69,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0.92,0,2.58,0,1.71,0.95,0.9,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.66,0,0,0,0,0,0.99,0,0,0,0,0,0,1.26,0,0,0,0,0.66,0
 48-58,0,0,0,0,0,13.7,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,98.47,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,5.3
 72-82,0,0,0,0,0,84.7,1.53,0,0,0,0,1.11,0,0,7.72,0.56,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.17,181.71,0,1.57,0,2,0,3.31,1.42,1.12,0,2.26,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,173.03,4.29,0,0,0,0.83,4.38,0,0,2.23,0,0.98,0,0.91,0,0,0,0,1.27,0
108-118,0,0,0,1.92,0,175.09,0,0,0.71,0,0,2.72,0,0,14.5,0,0,0,2.13,0,0.42,0,0,0,3.38
120,0,0,0,0,0,44.31,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0
