stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,77.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.43,0,0,0,0,0,0,0,0,0,0,0,0,27.22,0,0,0,14.06,0,0,0,0,0,0,0,0,0,0
 10-12,4.94,0,0,3.12,0,0,0,0,0,0,0,0,0,45.07,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.02,0,0,0,4.99,0,0,0,0,0,0,12.58,0,8.16,0,0,0,0,0
 24-34,0,0.73,0,0.86,0,0,1.11,0,0,0,0,0,0,7.97,0,0,0,0,1.94,0,0,0,11.42,0,0,0,0,0
 36-46,0,0,0,1.4,0,0,18.76,0,0,0,0,0,0,24.9,0,0,0,0,3.1,0,0,0,79.5,0,0,0,0,0
 48-58,0,0.5,0,18.69,0,0,73.49,0,0,2.09,0,0,0,25.99,0,0,0,0,6.94,0,0,0,124.09,0,0,0,0,0
 60-70,0,0.67,0,8.39,0,0.8,317.89,0,0,12.38,0,0,0.92,111.12,6.53,0,0,0,12.21,0,0,0,88.25,0,2.37,0,0.98,0
 72-82,0,2.76,0,34.01,2.39,0,486.2,1.51,0,47.72,0,0,0,203.48,0,4.5,0,0,21.64,0,0,0.64,70.81,0.87,18.81,0,10.32,3.18
 84-94,0,9.07,0,48.53,0.57,0,295.87,3.57,2.19,16.73,0.78,0.65,0.68,212.15,0,0,0.99,0,77.96,0,0,0,60.03,1.68,13.58,0.92,10.1,0.64
 96-106,0,16.7,0,24.81,6.65,0,426.91,1.45,3.72,26.99,0.83,0.73,8.08,188.69,0,0,0,0,58.21,0.76,0,1.56,86.34,4.84,28.29,2.02,12.47,0
108-118,0,11.25,0,37.37,3.43,0,411.76,11.69,1.33,24.08,0,0,1.14,191.07,1.21,0,0,0,32.58,0,0,0,21.42,0,8.1,0,7.78,0
120,0,14.02,5.08,49.99,5.49,0,495.9,9.23,0,56.86,0,9.54,0,253.96,3.31,0,0,0,33.48,0,0,0,13.96,0,13.36,0,2.7,0
