stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,35.04,0,14.4,0,3.3,0,0,0,0,0,0,0,0
 14-21,0,0,5.06,0,0,18.29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,345.27,0,2.93,0,0,0,18.53,0,6.97,0,0,0.89,0
 24-34,0,0,13.75,0,0.69,109.14,0.67,0,0,0,0,0,0,0,0,0,0,0,0,5.8,70.66,0,0,0,0,0,0,0,3.56,0.65,0,0,0
 36-46,0,0,10.48,0,0,78.65,3.07,0,0,0,0,0,0,0,6.72,0,0.87,0,0,12.1,24.86,1.67,0,0,0,0,0,0,0,1.52,0,0.64,0
 48-58,0,0,49.47,0,0,78.08,0,1.41,0,0,0,0,0,0,7.63,1.02,0,0,0,10.64,20.03,0,0,0,0,0,0,0,0,1.43,0,0,0
 60-70,0,0,118.27,0,1.05,89.72,0,0,0,0,9.06,0,0,0,0,1.04,0,0,0,17.03,16.53,0,0,0,2.03,0,0,0,0,3.76,1.96,0,0
 72-82,0,0,211.24,0,6.71,38.28,0.64,6.34,0,0,0,0.53,0,0,0,11.19,0.5,1.07,1.54,23.71,4.06,0,0,0.8,0,0,0,0,0,0.68,1.97,0,3.54
 84-94,0,0,357.31,0,13.21,85.34,0.67,1.91,0,0,0,4.25,0,2.93,0.59,13.89,0.67,3.22,1.33,13.17,5.96,0,0,0,0.8,0,0,0,0,0,3.39,0,0
 96-106,0,0,460.92,0,33.63,62.73,15.73,9.12,2.05,0,0,0.94,0,0.73,8.71,8.93,16.05,0,0,43.68,1.91,2.43,0,0,0,0,0,0,0,0,0.56,1.58,6.16
108-118,3.02,0,442.43,1.12,14.84,97.66,2.43,10.71,0.45,0,0.68,2.4,0.44,0,1.07,13.58,7.96,0,1.21,36.77,9.26,0,0,2.06,0,0.79,0,1.48,0,2.46,3.81,0.81,0
120,0,0,283.59,0,17.64,51.05,0,10.9,0,0,0,0,1.69,0,0,9.93,10.74,15.72,0,44.25,4.71,0,0,0,1.6,0,0,0,0,0,0,0,0
