stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,32.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,13.93,0,0,0,0,4.54,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0
 10-12,0,5.59,0,0,19.23,0,0,0,0,0,0,0,0,79.89,0,0,20.18,0,8.35,0,0,0,0
 14-21,0,0,4.21,2.08,0,0,0,0.83,0,0,3.17,0,2.64,12.48,0,0,0,0,0,1.78,2.7,1.76,0
 24-34,0,0.67,1.92,0,3.69,0,0,0.65,0,0,2.3,0.91,6.19,10.99,0.62,0,0,0,0,0,4.53,7.22,0
 36-46,0,0.63,0.67,0,0,1.24,0,0.9,0,0,4.72,0,1.22,18.58,0,0,0,4.83,0,0,2.45,0,0
 48-58,0,0,2.47,0,1.98,0,0,1.5,0,0,5.52,0.6,0,9.22,0,0,0,0,0,0,3.43,0,0
 60-70,0,0,0,0,0,0,0,0.77,0,0,3.29,0,1.25,5.36,0,0,0,0,0,0,4.41,0,0
 72-82,0,0,0,0,0,0.98,0,3.8,0,5.32,6.58,0,0,4.8,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.99,0,6.06,0,0.6,2.81,0,0,8.62,0,0.96,9.04,0,0,0,2.09,0,0,0,0,0
 96-106,0,0,0,0,8.41,0,0,2.85,0,0,8.11,0,0,11.16,0,1.44,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,10.6,0,0,7.54,0,0,6.83,0,0,0,0,0,0,1.58,0.56,0
120,0,0,1.72,0,4.8,0,0,36.93,0,0,21.14,0,1.92,27.46,0,0,0,0,0,0,0,0,8.53
