stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,134.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0
  5-6,27.63,261.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,6.27,0,0,0,0,0
  7-9,3.75,11.17,0,13.61,0,0,49.91,0,0,0,3.6,0,0,0,0,0,0,0,0,0,248.93,3.96,0,107.67,0,0,0,0,0,0
 10-12,0,11.36,0,4.69,0,0,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,247.55,30.67,0,55,0,0,0,0,0,0
 14-21,0,0,0,0,5.88,0,0.9,0,0,0,0,0,0,0,0,0,3.42,0,0,2.57,12.03,0,0,0,1.23,0,5.2,1.21,0,0
 24-34,0,0,0,0.7,0,0,0.87,0,2.87,0.89,0,0,0,0,0,0,1.26,0,0,1.69,20.45,0,0,0,0.66,0,2.23,1.61,0,0
 36-46,0,0,0,0,0.77,0.92,0,0,0,0,0,0,0,0,1.11,0,4.3,0,0,0,27.9,0,0,0,0,0,3.49,0,0,0
 48-58,0,0,0,0,0.4,0,2.95,0,0,1.61,0,7.67,0,0,0,0,2.87,0,0,0,8.35,0,0,0,1.3,0,1.45,0,0,0
 60-70,0,0,0,0,0,0,5.23,0,3.14,0,0,0,0,0.81,0,0,3.6,0,0,0,13,0,0,0,0,2.34,1.58,0,0,4.91
 72-82,0,0,0,0,0.5,0.89,2.73,0,4.15,0.7,0,0,0.63,0,0,1.08,6.99,0.78,0,0,34.73,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.44,0,4.14,0.69,5.77,0,0,0,0,0,0,0,8.85,0,0,0,8.41,0,1.1,0,0,0,0.83,0,0,0
 96-106,0,0,0,0,0,0,3.43,0.64,7.49,2.17,0,0.57,0,2.73,0,1.38,4.09,0,0,0.96,3.52,0,1.2,0,0,0.58,0,0.88,1.31,0
108-118,0,0,0.83,0,8.87,0,0,0,1.42,0,0,0,0.91,0,0,0,8.1,0,0.57,0,19.82,0,0,0,0,0,1.4,0,0,0
120,0,0,0,0,4.78,0,3.7,0,0,0,0,0,0,0,0,2.14,2.5,0,0,0,17.69,0,2.51,0,2.54,0,0,6.63,0,0
